Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.6736,0.5854,0.6736,0.5901,0.5485,2.2806,0.0105,0.0156,,,0.3,,,,250.0,10.0,3360
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.5117,9.8308,0.0,0.0,,,0.3,,,,250.0,10.0,3360
KNN,CTGAN,0.6528,0.5942,0.6528,0.6063,0.5631,1.3336,0.0343,0.0387,,,0.3,,,,250.0,1.0,336
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.4918,10.7756,0.0,0.0,,,0.3,,,,250.0,1.0,336
KNN,CTGAN,0.6875,0.5845,0.6875,0.5778,0.533,3.6938,0.0037,0.0088,,,0.3,,,,250.0,2.0,672
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.5291,10.2975,0.0,0.0,,,0.3,,,,250.0,2.0,672
KNN,CTGAN,0.6736,0.5407,0.6736,0.5704,0.5006,3.7215,-0.023,-0.0435,,,0.3,,,,250.0,3.0,1008
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.4977,10.5428,0.0,0.0,,,0.3,,,,250.0,3.0,1008
KNN,CTGAN,0.7014,0.6729,0.7014,0.6069,0.5517,3.6834,0.0641,0.1212,,,0.3,,,,250.0,5.0,1680
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.5141,10.3022,0.0,0.0,,,0.3,,,,250.0,5.0,1680
