Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.52,0.6426,0.0,0.0,,,0.3,,,,250.0,10.0,3360
RandomForest,TVAE,0.6944,0.4823,0.6944,0.5692,0.5374,6.1782,0.0,0.0,,,0.3,,,,250.0,10.0,3360
RandomForest,CTGAN,0.6944,0.643,0.6944,0.612,0.5842,0.6117,0.066,0.1024,,,0.3,,,,250.0,1.0,336
RandomForest,TVAE,0.6944,0.4823,0.6944,0.5692,0.5224,7.9763,0.0,0.0,,,0.3,,,,250.0,1.0,336
RandomForest,CTGAN,0.6736,0.4777,0.6736,0.559,0.5243,0.6219,-0.0406,-0.0968,,,0.3,,,,250.0,2.0,672
RandomForest,TVAE,0.6944,0.4823,0.6944,0.5692,0.5285,6.4101,0.0,0.0,,,0.3,,,,250.0,2.0,672
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.5717,0.6397,0.0,0.0,,,0.3,,,,250.0,3.0,1008
RandomForest,TVAE,0.6944,0.4823,0.6944,0.5692,0.5419,6.8525,0.0,0.0,,,0.3,,,,250.0,3.0,1008
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.6144,0.6131,0.0,0.0,,,0.3,,,,250.0,5.0,1680
RandomForest,TVAE,0.6944,0.4823,0.6944,0.5692,0.5623,5.2782,0.0,0.0,,,0.3,,,,250.0,5.0,1680
