Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.6944,0.4823,0.6944,0.5692,0.5043,0.6314,0.0,0.0,,,0.3,,,,300.0,10.0,3360
LogisticRegression,GaussianCopula,0.7014,0.7912,0.7014,0.5851,0.757,0.5632,0.0313,0.1261,,,0.3,,,,300.0,10.0,3360
LogisticRegression,TVAE,0.6944,0.4823,0.6944,0.5692,0.5643,1.961,0.0,0.0,,,0.3,,,,300.0,10.0,3360
LogisticRegression,CTGAN,0.6875,0.4808,0.6875,0.5658,0.5505,0.6895,-0.0138,-0.0555,,,0.3,,,,300.0,1.0,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.3,,,,300.0,1.0,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.3,,,,300.0,1.0,336
LogisticRegression,CTGAN,0.6944,0.6409,0.6944,0.6027,0.4577,0.6571,0.0504,0.088,,,0.3,,,,300.0,2.0,672
LogisticRegression,GaussianCopula,0.6944,0.4823,0.6944,0.5692,0.6884,0.6609,0.0,0.0,,,0.3,,,,300.0,2.0,672
LogisticRegression,TVAE,0.7014,0.7912,0.7014,0.5851,0.5773,1.3466,0.0313,0.1261,,,0.3,,,,300.0,2.0,672
LogisticRegression,CTGAN,0.6944,0.6369,0.6944,0.5815,0.462,0.6594,0.0174,0.0501,,,0.3,,,,300.0,3.0,1008
LogisticRegression,GaussianCopula,0.6944,0.4823,0.6944,0.5692,0.7311,0.6002,0.0,0.0,,,0.3,,,,300.0,3.0,1008
LogisticRegression,TVAE,0.6944,0.4823,0.6944,0.5692,0.5827,1.5034,0.0,0.0,,,0.3,,,,300.0,3.0,1008
LogisticRegression,CTGAN,0.6736,0.5967,0.6736,0.5988,0.4495,0.6578,0.0265,0.0363,,,0.3,,,,300.0,5.0,1680
LogisticRegression,GaussianCopula,0.6944,0.4823,0.6944,0.5692,0.7443,0.5755,0.0,0.0,,,0.3,,,,300.0,5.0,1680
LogisticRegression,TVAE,0.6944,0.4823,0.6944,0.5692,0.5741,1.581,0.0,0.0,,,0.3,,,,300.0,5.0,1680
LogisticRegression,CTGAN,0.6875,0.6068,0.6875,0.5886,0.5464,0.6313,0.0206,0.0389,,,0.05,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.05,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.05,,,,300,8,336
LogisticRegression,CTGAN,0.6042,0.537,0.6042,0.5609,0.3061,0.7648,-0.0766,-0.0834,,,0.1,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.1,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.1,,,,300,8,336
LogisticRegression,CTGAN,0.7014,0.6913,0.7014,0.5965,0.5718,0.6181,0.048,0.1143,,,0.15,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.15,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.15,,,,300,8,336
LogisticRegression,CTGAN,0.6944,0.4823,0.6944,0.5692,0.6161,0.6338,0.0,0.0,,,0.2,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.2,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.2,,,,300,8,336
LogisticRegression,CTGAN,0.6389,0.6,0.6389,0.6121,0.5155,0.6845,0.0526,0.055,,,0.25,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.25,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.25,,,,300,8,336
LogisticRegression,CTGAN,0.7083,0.7202,0.7083,0.6111,0.6636,0.5844,0.078,0.1631,,,0.3,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.3,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.3,,,,300,8,336
LogisticRegression,CTGAN,0.7014,0.6729,0.7014,0.6069,0.6425,0.7039,0.0641,0.1212,,,0.35,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.35,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.6068,0.6875,0.5886,0.5825,1.5387,0.0206,0.0389,,,0.35,,,,300,8,336
LogisticRegression,CTGAN,0.7569,0.7666,0.7569,0.7126,0.6895,0.576,0.2977,0.366,,,0.4,,,,300,8,336
LogisticRegression,GaussianCopula,0.7431,0.7809,0.7431,0.6773,0.732,0.5385,0.2211,0.327,,,0.4,,,,300,8,336
LogisticRegression,TVAE,0.6875,0.5845,0.6875,0.5778,0.5014,2.1879,0.0037,0.0088,,,0.4,,,,300,8,336
LogisticRegression,CTGAN,0.6875,0.5845,0.6875,0.5778,0.5282,0.6686,0.0037,0.0088,,,0.45,,,,300,8,336
