Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.625,0.6202,0.625,0.6225,0.5524,13.033,0.105,0.105
DecisionTree,CTGAN_HYBRID,0.5903,0.5929,0.5903,0.5916,0.5251,14.5303,0.0407,0.0407
DecisionTree,GaussianCopula_HYBRID,0.4861,0.5463,0.4861,0.5057,0.4645,18.5224,-0.0622,-0.0656
DecisionTree,Original,0.7986,0.7952,0.7986,0.7965,0.7532,7.2588,0.5162,0.5169
DecisionTree,TVAE_HYBRID,0.6111,0.5905,0.6111,0.5991,0.5164,14.017,0.0345,0.0348
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,0.5484,2.7685,0.1247,0.1373
KNN,CTGAN_HYBRID,0.6389,0.5538,0.6389,0.5768,0.4757,3.2652,-0.0354,-0.0426
KNN,GaussianCopula_HYBRID,0.6528,0.6169,0.6528,0.6271,0.6061,1.5724,0.0891,0.0931
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4792,7.014,0.0,0.0
LogisticRegression,Anonymous,0.7014,0.6913,0.7014,0.5965,0.4793,0.6341,0.048,0.1143
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.563,0.6136,0.0,0.0
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5332,0.6235,0.0369,0.0604
LogisticRegression,Original,0.8472,0.8588,0.8472,0.8339,0.7905,0.4473,0.5934,0.6293
LogisticRegression,TVAE_HYBRID,0.6944,0.6568,0.6944,0.6535,0.5239,1.2295,0.1502,0.1695
RandomForest,Anonymous,0.6111,0.5959,0.6111,0.6025,0.5673,1.5123,0.0473,0.0475
RandomForest,CTGAN_HYBRID,0.625,0.5892,0.625,0.6018,0.5306,0.9564,0.0299,0.0309
RandomForest,GaussianCopula_HYBRID,0.5694,0.5905,0.5694,0.5784,0.4955,1.0702,0.0346,0.0349
RandomForest,Original,0.8333,0.8333,0.8333,0.823,0.7948,0.4707,0.5689,0.5878
RandomForest,TVAE_HYBRID,0.625,0.5831,0.625,0.5972,0.5327,5.3025,0.0162,0.0169
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
