Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5208,0.5567,0.5208,0.535,0.4768,17.2709,-0.0428,-0.0437
DecisionTree,Original,0.8056,0.8056,0.8056,0.8056,0.7709,7.0085,0.5418,0.5418
KNN,CTGAN,0.6181,0.5365,0.6181,0.5635,0.4693,2.8293,-0.0703,-0.0804
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.7014,0.7912,0.7014,0.5851,0.3348,0.6598,0.0313,0.1261
LogisticRegression,Original,0.8472,0.8588,0.8472,0.8339,0.7905,0.4473,0.5934,0.6293
RandomForest,CTGAN,0.6597,0.4746,0.6597,0.5521,0.4662,0.6488,-0.0665,-0.1258
RandomForest,Original,0.8472,0.8535,0.8472,0.8359,0.8074,0.4535,0.5992,0.6264
SVM,CTGAN,0.6875,0.4808,0.6875,0.5658,N/A,N/A,-0.0138,-0.0555
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
