epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,KNN,0.52732
40.0,CTGAN,KNN,0.50008
60.0,CTGAN,KNN,0.5323
80.0,CTGAN,KNN,0.48566000000000004
100.0,CTGAN,KNN,0.48124
120.0,CTGAN,KNN,0.49207999999999996
150.0,CTGAN,KNN,0.50234
200.0,CTGAN,KNN,0.53282
200.0,TVAE,KNN,0.50156
250.0,CTGAN,KNN,0.4936
250.0,TVAE,KNN,0.49000000000000005
300.0,CTGAN,KNN,0.51033125
300.0,GaussianCopula,KNN,0.56760625
300.0,TVAE,KNN,0.5239875
400.0,CTGAN,KNN,0.5078400000000001
400.0,TVAE,KNN,0.49172000000000005
500.0,CTGAN,KNN,0.5340999999999999
500.0,TVAE,KNN,0.45045999999999997
1000.0,CTGAN,KNN,0.52812
1000.0,TVAE,KNN,0.50266
