epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,LogisticRegression,0.47584
40.0,CTGAN,LogisticRegression,0.49286
60.0,CTGAN,LogisticRegression,0.60202
80.0,CTGAN,LogisticRegression,0.44917999999999997
100.0,CTGAN,LogisticRegression,0.47587999999999997
120.0,CTGAN,LogisticRegression,0.45864000000000005
150.0,CTGAN,LogisticRegression,0.51106
200.0,CTGAN,LogisticRegression,0.5826
200.0,TVAE,LogisticRegression,0.51504
250.0,CTGAN,LogisticRegression,0.56694
250.0,TVAE,LogisticRegression,0.49926000000000004
300.0,CTGAN,LogisticRegression,0.52509375
300.0,GaussianCopula,LogisticRegression,0.7745125
300.0,TVAE,LogisticRegression,0.5625249999999999
400.0,CTGAN,LogisticRegression,0.60412
400.0,TVAE,LogisticRegression,0.7111
500.0,CTGAN,LogisticRegression,0.53572
500.0,TVAE,LogisticRegression,0.66842
1000.0,CTGAN,LogisticRegression,0.5911799999999999
1000.0,TVAE,LogisticRegression,0.8013600000000001
