epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,RandomForest,0.53338
40.0,CTGAN,RandomForest,0.53166
60.0,CTGAN,RandomForest,0.5461400000000001
80.0,CTGAN,RandomForest,0.49383999999999995
100.0,CTGAN,RandomForest,0.51762
120.0,CTGAN,RandomForest,0.5065
150.0,CTGAN,RandomForest,0.51714
200.0,CTGAN,RandomForest,0.55264
200.0,TVAE,RandomForest,0.50794
250.0,CTGAN,RandomForest,0.55488
250.0,TVAE,RandomForest,0.5111600000000001
300.0,CTGAN,RandomForest,0.53951875
300.0,GaussianCopula,RandomForest,0.74006875
300.0,TVAE,RandomForest,0.58755
400.0,CTGAN,RandomForest,0.5654399999999999
400.0,TVAE,RandomForest,0.6645800000000001
500.0,CTGAN,RandomForest,0.5612199999999999
500.0,TVAE,RandomForest,0.60194
1000.0,CTGAN,RandomForest,0.58162
1000.0,TVAE,RandomForest,0.7712399999999999
