epochs,Dataset,Model,F1
20.0,CTGAN,DecisionTree,0.5686
40.0,CTGAN,DecisionTree,0.58716
60.0,CTGAN,DecisionTree,0.5851599999999999
80.0,CTGAN,DecisionTree,0.56712
100.0,CTGAN,DecisionTree,0.5694
120.0,CTGAN,DecisionTree,0.59748
150.0,CTGAN,DecisionTree,0.57534
200.0,CTGAN,DecisionTree,0.5420200000000001
200.0,TVAE,DecisionTree,0.58432
250.0,CTGAN,DecisionTree,0.56096
250.0,TVAE,DecisionTree,0.5883200000000001
300.0,CTGAN,DecisionTree,0.564425
300.0,GaussianCopula,DecisionTree,0.63038125
300.0,TVAE,DecisionTree,0.58354375
400.0,CTGAN,DecisionTree,0.56582
400.0,TVAE,DecisionTree,0.6438200000000001
500.0,CTGAN,DecisionTree,0.61364
500.0,TVAE,DecisionTree,0.62162
1000.0,CTGAN,DecisionTree,0.6048600000000001
1000.0,TVAE,DecisionTree,0.6807000000000001
