epochs,Dataset,Model,F1
20.0,CTGAN,SVM,0.5692
40.0,CTGAN,SVM,0.5692
60.0,CTGAN,SVM,0.56784
80.0,CTGAN,SVM,0.5723800000000001
100.0,CTGAN,SVM,0.56852
120.0,CTGAN,SVM,0.56852
150.0,CTGAN,SVM,0.56716
200.0,CTGAN,SVM,0.58402
200.0,TVAE,SVM,0.5692
250.0,CTGAN,SVM,0.56784
250.0,TVAE,SVM,0.5692
300.0,CTGAN,SVM,0.57389375
300.0,GaussianCopula,SVM,0.581125
300.0,TVAE,SVM,0.5692
400.0,CTGAN,SVM,0.56752
400.0,TVAE,SVM,0.5692
500.0,CTGAN,SVM,0.5692
500.0,TVAE,SVM,0.5692
1000.0,CTGAN,SVM,0.5692
1000.0,TVAE,SVM,0.5692
