epochs,Dataset,Model,Precision
20.0,CTGAN,KNN,0.6221
40.0,CTGAN,KNN,0.58552
60.0,CTGAN,KNN,0.5905199999999999
80.0,CTGAN,KNN,0.5815
100.0,CTGAN,KNN,0.5554
120.0,CTGAN,KNN,0.59988
150.0,CTGAN,KNN,0.5713
200.0,CTGAN,KNN,0.59618
200.0,TVAE,KNN,0.48230000000000006
250.0,CTGAN,KNN,0.56496
250.0,TVAE,KNN,0.48230000000000006
300.0,CTGAN,KNN,0.574225
300.0,GaussianCopula,KNN,0.630525
300.0,TVAE,KNN,0.4823
400.0,CTGAN,KNN,0.5833999999999999
400.0,TVAE,KNN,0.5785
500.0,CTGAN,KNN,0.54862
500.0,TVAE,KNN,0.54
1000.0,CTGAN,KNN,0.6062
1000.0,TVAE,KNN,0.56396
