epochs,Dataset,Model,Recall
20.0,CTGAN,DecisionTree,0.56806
40.0,CTGAN,DecisionTree,0.5889
60.0,CTGAN,DecisionTree,0.575
80.0,CTGAN,DecisionTree,0.5625
100.0,CTGAN,DecisionTree,0.55972
120.0,CTGAN,DecisionTree,0.5986
150.0,CTGAN,DecisionTree,0.56944
200.0,CTGAN,DecisionTree,0.52498
200.0,TVAE,DecisionTree,0.63612
250.0,CTGAN,DecisionTree,0.55138
250.0,TVAE,DecisionTree,0.69584
300.0,CTGAN,DecisionTree,0.5625
300.0,GaussianCopula,DecisionTree,0.6289125
300.0,TVAE,DecisionTree,0.638025
400.0,CTGAN,DecisionTree,0.5541400000000001
400.0,TVAE,DecisionTree,0.66806
500.0,CTGAN,DecisionTree,0.63888
500.0,TVAE,DecisionTree,0.64722
1000.0,CTGAN,DecisionTree,0.61528
1000.0,TVAE,DecisionTree,0.6722
