Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,29,8.63,0.3,10.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5694,0.5639,0.5694,0.5666,0.4799,2.1478,-0.0276,-0.0276,29,8.63,0.3,10.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4527,2.6138,-0.0548,-0.0551,29,8.63,0.3,10.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,29,8.63,0.3,11.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6736,0.5407,0.6736,0.5704,0.4182,3.0514,-0.023,-0.0435,29,8.63,0.3,11.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4527,2.6138,-0.0548,-0.0551,29,8.63,0.3,11.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,40,11.9,0.3,12.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5278,0.566,0.5278,0.5424,0.525,2.1674,-0.0217,-0.0222,40,11.9,0.3,12.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5347,0.5434,0.5347,0.5388,0.5101,1.3982,-0.0758,-0.0759,40,11.9,0.3,12.0,2.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.485,11.018,0.0,0.0,40,11.9,0.3,12.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,13.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6944,0.6543,0.6944,0.648,0.5753,2.9623,0.1373,0.1595,46,13.69,0.3,13.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,13.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,14.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6528,0.5869,0.6528,0.5999,0.5059,1.6037,0.0196,0.0228,46,13.69,0.3,14.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,14.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,15.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6042,0.5541,0.6042,0.5723,0.5039,4.2715,-0.0459,-0.0483,46,13.69,0.3,15.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,15.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,16.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6319,0.6001,0.6319,0.6113,0.5994,1.0843,0.0545,0.056,46,13.69,0.3,16.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,16.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,17.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6181,0.547,0.6181,0.5702,0.4466,4.2576,-0.0543,-0.0605,46,13.69,0.3,17.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,17.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,18.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6042,0.5743,0.6042,0.5862,0.4636,3.1078,-0.0029,-0.003,46,13.69,0.3,18.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,18.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,64,19.05,0.3,19.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5556,0.4769,0.5556,0.5104,0.3807,3.3522,-0.2,-0.2157,64,19.05,0.3,19.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5972,0.5868,0.5972,0.5916,0.5539,1.3669,0.0261,0.0262,64,19.05,0.3,19.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,64,19.05,0.3,20.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6181,0.4647,0.6181,0.5305,0.4893,1.8439,-0.1392,-0.1908,64,19.05,0.3,20.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5972,0.5868,0.5972,0.5916,0.5539,1.3669,0.0261,0.0262,64,19.05,0.3,20.0,2.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4927,10.5444,0.0,0.0,64,19.05,0.3,20.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6528,0.6217,0.6528,0.6313,0.4941,2.8094,0.1018,0.1052,23,6.85,0.3,2.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5972,0.5324,0.5972,0.5563,0.4283,3.3191,-0.0875,-0.0944,23,6.85,0.3,2.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6181,0.5242,0.6181,0.5562,0.4535,3.2855,-0.0867,-0.1025,23,6.85,0.3,2.0,2.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.49,11.0164,0.0,0.0,23,6.85,0.3,2.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,64,19.05,0.3,30.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5486,0.495,0.5486,0.518,0.3992,4.2811,-0.1759,-0.1827,64,19.05,0.3,30.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5972,0.5868,0.5972,0.5916,0.5539,1.3669,0.0261,0.0262,64,19.05,0.3,30.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6458,0.6161,0.6458,0.6259,0.4869,2.5762,0.0902,0.0927,49,14.58,0.3,3.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6389,0.5733,0.6389,0.5905,0.5102,2.7884,-0.0043,-0.0048,49,14.58,0.3,3.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6319,0.6001,0.6319,0.6113,0.5288,0.9131,0.0545,0.056,49,14.58,0.3,3.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6458,0.6161,0.6458,0.6259,0.4841,2.5777,0.0902,0.0927,47,13.99,0.3,4.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.6667,0.4762,0.6667,0.5556,0.5509,1.8047,-0.0537,-0.1121,47,13.99,0.3,4.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5606,0.6458,0.5812,0.4439,6.1252,-0.0234,-0.0288,47,13.99,0.3,4.0,2.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5114,10.7742,0.0,0.0,47,13.99,0.3,4.0,2.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,9,2.68,0.3,50.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5903,0.6449,0.5903,0.6057,0.5894,1.1634,0.1484,0.1557,9,2.68,0.3,50.0,2.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6806,0.6274,0.6806,0.6256,0.4994,1.5994,0.0841,0.1013,9,2.68,0.3,50.0,2.0,0.2,300,1,336
