Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473,29,8.63,0.3,10.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.6913,0.7014,0.5965,0.5145,0.6299,0.048,0.1143,29,8.63,0.3,10.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143,29,8.63,0.3,10.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473,29,8.63,0.3,11.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.3814,0.649,0.0,0.0,29,8.63,0.3,11.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143,29,8.63,0.3,11.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5347,0.6385,0.5347,0.5508,0.5964,0.7131,0.1126,0.1292,40,11.9,0.3,12.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.6379,0.6875,0.6305,0.5423,0.6321,0.097,0.1193,40,11.9,0.3,12.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5175,0.6482,0.0,0.0,40,11.9,0.3,12.0,5.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4961,2.0963,0.0,0.0,40,11.9,0.3,12.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,13.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6806,0.5849,0.6806,0.5847,0.3925,0.6527,0.0072,0.0126,46,13.69,0.3,13.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,13.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,14.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.6512,0.6875,0.6534,0.5866,0.6242,0.1501,0.1635,46,13.69,0.3,14.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,14.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,15.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.4236,0.5061,0.4236,0.4458,0.3957,0.7948,-0.1344,-0.1484,46,13.69,0.3,15.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,15.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,16.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.643,0.6944,0.612,0.6373,0.6072,0.066,0.1024,46,13.69,0.3,16.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,16.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,17.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.7912,0.7014,0.5851,0.6098,0.6104,0.0313,0.1261,46,13.69,0.3,17.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,17.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,18.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7292,0.7287,0.7292,0.6671,0.6464,0.6102,0.1922,0.2633,46,13.69,0.3,18.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,18.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.4653,0.6099,0.4653,0.4719,0.5539,0.8581,0.0487,0.0628,64,19.05,0.3,19.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6736,0.5407,0.6736,0.5704,0.5159,0.6686,-0.023,-0.0435,64,19.05,0.3,19.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4583,0.5774,0.4583,0.4722,0.4966,0.7273,0.0028,0.0034,64,19.05,0.3,19.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.4653,0.6099,0.4653,0.4719,0.5539,0.8581,0.0487,0.0628,64,19.05,0.3,20.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5427,0.6251,-0.0138,-0.0555,64,19.05,0.3,20.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4583,0.5774,0.4583,0.4722,0.4966,0.7273,0.0028,0.0034,64,19.05,0.3,20.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6806,0.7296,0.6806,0.6924,0.7543,0.6177,0.3323,0.3472,40,11.9,0.3,2.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6458,0.5307,0.6458,0.5647,0.28,0.7216,-0.0564,-0.0773,40,11.9,0.3,2.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7083,0.7083,0.7083,0.6495,0.6279,0.3127,0.3127,40,11.9,0.3,2.0,5.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.438,1.2891,0.0,0.0,40,11.9,0.3,2.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.4653,0.6099,0.4653,0.4719,0.5539,0.8581,0.0487,0.0628,64,19.05,0.3,30.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.6628,0.7014,0.6402,0.4975,0.63,0.1234,0.1593,64,19.05,0.3,30.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4583,0.5774,0.4583,0.4722,0.4966,0.7273,0.0028,0.0034,64,19.05,0.3,30.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6806,0.7296,0.6806,0.6924,0.7543,0.6177,0.3323,0.3472,40,11.9,0.3,3.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.5625,0.5864,0.5625,0.5725,0.5534,0.6928,0.0249,0.0252,40,11.9,0.3,3.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7083,0.7083,0.7083,0.6495,0.6279,0.3127,0.3127,40,11.9,0.3,3.0,5.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.6458,0.5072,0.6458,0.5553,0.4402,1.8122,-0.0737,-0.109,40,11.9,0.3,3.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6806,0.7296,0.6806,0.6924,0.7543,0.6177,0.3323,0.3472,40,11.9,0.3,4.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7153,0.7981,0.7153,0.6153,0.59,0.6102,0.0923,0.2199,40,11.9,0.3,4.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7083,0.7083,0.7083,0.6495,0.6279,0.3127,0.3127,40,11.9,0.3,4.0,5.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.625,0.5694,0.625,0.5869,0.44,1.4354,-0.0125,-0.0135,40,11.9,0.3,4.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6944,0.6409,0.6944,0.6027,0.5605,0.6119,0.0504,0.088,9,2.68,0.3,50.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7083,0.7946,0.7083,0.6005,0.5066,0.6243,0.062,0.1789,9,2.68,0.3,50.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,0.49,0.7212,0.0,0.0,9,2.68,0.3,50.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6806,0.7296,0.6806,0.6924,0.7543,0.6177,0.3323,0.3472,40,11.9,0.3,5.0,5.0,0.2,,,
