Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6597,0.6619,0.6597,0.6608,0.6278,0.6402,0.2033,0.2033,13,3.87,0.3,10.0,10.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5602,0.6185,-0.0138,-0.0555,13,3.87,0.3,10.0,10.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6597,0.5945,0.6597,0.6047,0.5294,0.6426,0.0318,0.0376,13,3.87,0.3,10.0,10.0,0.05,300,1,336
RandomForest,Anonymous,0.6528,0.6397,0.6528,0.6451,0.6182,0.6563,0.1493,0.1501,13,3.87,0.3,11.0,10.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4918,0.701,0.0,0.0,13,3.87,0.3,11.0,10.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6667,0.5859,0.6667,0.5944,0.5384,0.6555,0.0137,0.0182,13,3.87,0.3,11.0,10.0,0.05,300,1,336
RandomForest,Anonymous,0.6597,0.6449,0.6597,0.6508,0.618,0.6426,0.1608,0.162,13,3.87,0.3,12.0,10.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6875,0.6245,0.6875,0.6076,0.5136,0.6275,0.0526,0.0778,13,3.87,0.3,12.0,10.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6181,0.5365,0.6181,0.5635,0.5056,0.6666,-0.0703,-0.0804,13,3.87,0.3,12.0,10.0,0.05,300,1,336
RandomForest,Anonymous,0.6528,0.6397,0.6528,0.6451,0.6267,0.6395,0.1493,0.1501,13,3.87,0.3,13.0,10.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6944,0.6451,0.6944,0.6204,0.5483,0.6481,0.0812,0.1153,13,3.87,0.3,13.0,10.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6389,0.5733,0.6389,0.5905,0.538,0.6485,-0.0043,-0.0048,13,3.87,0.3,13.0,10.0,0.05,300,1,336
RandomForest,Anonymous,0.5903,0.6081,0.5903,0.5979,0.536,0.7242,0.0757,0.0762,14,4.17,0.3,14.0,10.0,0.05,,,
