Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.5764,0.6206,0.5764,0.591,0.555,15.2685,0.0993,0.1025,29,8.63,0.3,10.0,10.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5,0.5393,0.5,0.5155,0.4555,18.0218,-0.0818,-0.0837,29,8.63,0.3,10.0,10.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6042,0.5913,0.6042,0.5971,0.5177,14.2673,0.0366,0.0368,29,8.63,0.3,10.0,10.0,0.5,300,1,336
DecisionTree,Anonymous,0.5903,0.6394,0.5903,0.6052,0.5777,14.7679,0.1387,0.1444,29,8.63,0.3,11.0,10.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.6319,0.6914,0.6319,0.6462,0.6395,13.2661,0.2435,0.2577,29,8.63,0.3,11.0,10.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6389,0.6251,0.6389,0.6309,0.5555,13.0158,0.1153,0.1159,29,8.63,0.3,11.0,10.0,0.5,300,1,336
DecisionTree,Anonymous,0.6042,0.6166,0.6042,0.6097,0.5495,14.2673,0.096,0.0963,40,11.9,0.3,12.0,10.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.6458,0.6391,0.6458,0.6422,0.5732,12.7655,0.1492,0.1494,40,11.9,0.3,12.0,10.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.5649,0.5347,0.547,0.4868,16.7703,-0.0246,-0.025,40,11.9,0.3,12.0,10.0,0.5,300,1,336
DecisionTree,Anonymous,0.5556,0.6195,0.5556,0.5729,0.5527,16.0194,0.0915,0.0973,84,25.0,0.3,13.0,10.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5417,0.5845,0.5417,0.557,0.5109,16.52,0.0198,0.0204,84,25.0,0.3,13.0,10.0,0.5,300,1,336
