Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,29,8.63,0.3,10.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.6597,0.5637,0.6597,0.5817,0.4664,2.5564,-0.015,-0.0205,29,8.63,0.3,10.0,2.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4527,2.6138,-0.0548,-0.0551,29,8.63,0.3,10.0,2.0,0.5,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,29,8.63,0.3,11.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.5347,0.591,0.5347,0.5522,0.4803,1.9915,0.0329,0.0345,29,8.63,0.3,11.0,2.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4527,2.6138,-0.0548,-0.0551,29,8.63,0.3,11.0,2.0,0.5,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,29,8.63,0.3,11.0,2.0,0.5,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,40,11.9,0.3,12.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.6181,0.5779,0.6181,0.5921,0.436,1.9122,0.005,0.0052,40,11.9,0.3,12.0,2.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5347,0.5434,0.5347,0.5388,0.5101,1.3982,-0.0758,-0.0759,40,11.9,0.3,12.0,2.0,0.5,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5241,10.2991,0.0,0.0,40,11.9,0.3,12.0,2.0,0.5,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,84,25.0,0.3,13.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.5972,0.5697,0.5972,0.581,0.4949,2.1019,-0.0136,-0.0138,84,25.0,0.3,13.0,2.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5208,0.4974,0.5208,0.5082,0.3909,3.3857,-0.1817,-0.1831,84,25.0,0.3,13.0,2.0,0.5,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,84,25.0,0.3,14.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.6944,0.6451,0.6944,0.6204,0.5523,3.4451,0.0812,0.1153,84,25.0,0.3,14.0,2.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5208,0.4974,0.5208,0.5082,0.3909,3.3857,-0.1817,-0.1831,84,25.0,0.3,14.0,2.0,0.5,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,70,20.83,0.3,15.0,2.0,0.5,,,
