Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6181,0.6057,0.6181,0.6112,0.573,0.6998,0.0704,0.0707,29,8.63,0.3,10.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6736,0.4777,0.6736,0.559,0.5172,0.6309,-0.0406,-0.0968,29,8.63,0.3,10.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6111,0.5509,0.6111,0.5716,0.452,0.6759,-0.05,-0.0539,29,8.63,0.3,10.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.6042,0.5859,0.6042,0.5938,0.5595,0.7173,0.0238,0.024,29,8.63,0.3,11.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6875,0.6297,0.6875,0.6159,0.4738,0.6632,0.0679,0.093,29,8.63,0.3,11.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6319,0.5886,0.6319,0.6023,0.4772,0.6657,0.0275,0.029,29,8.63,0.3,11.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5139,0.697,0.5139,0.5139,0.5913,0.9695,0.1555,0.2109,28,8.33,0.3,12.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6736,0.6844,0.6736,0.6782,0.64,0.6313,0.2546,0.2554,28,8.33,0.3,12.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.7222,0.7001,0.7222,0.698,0.67,0.5893,0.2608,0.2765,28,8.33,0.3,12.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5417,0.7004,0.5417,0.5483,0.6343,0.855,0.1807,0.2305,28,8.33,0.3,13.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6389,0.5538,0.6389,0.5768,0.5319,0.6393,-0.0354,-0.0426,28,8.33,0.3,13.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6944,0.6706,0.6944,0.6755,0.6666,0.6238,0.2096,0.2165,28,8.33,0.3,13.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5486,0.5515,0.5486,0.55,0.5192,0.7806,-0.0569,-0.0569,32,9.52,0.3,14.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6944,0.6409,0.6944,0.6027,0.5809,0.6049,0.0504,0.088,32,9.52,0.3,14.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6181,0.5091,0.6181,0.5484,0.5185,0.6531,-0.1037,-0.1275,32,9.52,0.3,14.0,10.0,0.1,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.471,8.2585,0.0,0.0,32,9.52,0.3,14.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5625,0.5707,0.5625,0.5664,0.5058,0.7613,-0.0116,-0.0116,32,9.52,0.3,15.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6875,0.5845,0.6875,0.5778,0.4644,0.6625,0.0037,0.0088,32,9.52,0.3,15.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.4933,0.5903,0.5317,0.4945,0.6634,-0.1481,-0.1695,32,9.52,0.3,15.0,10.0,0.1,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5333,9.0406,0.0,0.0,32,9.52,0.3,15.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5972,0.5756,0.5972,0.5848,0.5867,0.905,0.0,0.0,17,5.06,0.3,16.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6875,0.5845,0.6875,0.5778,0.5425,0.6964,0.0037,0.0088,17,5.06,0.3,16.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5486,0.6155,0.5486,0.5663,0.5782,0.6688,0.0824,0.088,17,5.06,0.3,16.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.6111,0.585,0.6111,0.5954,0.5876,0.6677,0.0214,0.0217,17,5.06,0.3,17.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.4514,0.5665,0.4514,0.4663,0.4902,0.7525,-0.015,-0.018,17,5.06,0.3,17.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5764,0.6049,0.5764,0.5876,0.5742,0.6536,0.0671,0.0681,17,5.06,0.3,17.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5972,0.6023,0.5972,0.5997,0.5674,0.716,0.0628,0.0629,23,6.85,0.3,18.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5972,0.5493,0.5972,0.5674,0.4595,0.6796,-0.0567,-0.0593,23,6.85,0.3,18.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.5877,0.5903,0.5889,0.5616,0.6544,0.0284,0.0284,23,6.85,0.3,18.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.6042,0.6016,0.6042,0.6029,0.5625,0.959,0.0613,0.0613,23,6.85,0.3,19.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5833,0.5667,0.5833,0.5742,0.4914,0.6888,-0.0208,-0.0209,23,6.85,0.3,19.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5694,0.5749,0.5694,0.5721,0.5402,0.6812,-0.0018,-0.0018,23,6.85,0.3,19.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5972,0.6124,0.5972,0.6038,0.5511,0.9654,0.0858,0.0862,23,6.85,0.3,20.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5972,0.6023,0.5972,0.5997,0.5343,0.6818,0.0628,0.0629,23,6.85,0.3,20.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6111,0.6111,0.6111,0.6111,0.5853,0.65,0.0836,0.0836,23,6.85,0.3,20.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5764,0.5843,0.5764,0.5801,0.5557,0.7302,0.0205,0.0205,29,8.63,0.3,2.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5372,0.703,-0.0138,-0.0555,29,8.63,0.3,2.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5764,0.5361,0.5764,0.5526,0.4707,0.6756,-0.0882,-0.0907,29,8.63,0.3,2.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5833,0.5886,0.5833,0.5859,0.5559,0.9674,0.0305,0.0305,23,6.85,0.3,30.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6806,0.5997,0.6806,0.5943,0.5377,0.68,0.0236,0.0366,23,6.85,0.3,30.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.5929,0.5903,0.5916,0.5406,0.676,0.0407,0.0407,23,6.85,0.3,30.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5764,0.5895,0.5764,0.5823,0.5419,0.7324,0.0326,0.0327,29,8.63,0.3,3.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6736,0.6052,0.6736,0.6068,0.5401,0.6324,0.0419,0.0541,29,8.63,0.3,3.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6042,0.5268,0.6042,0.5545,0.4591,0.6641,-0.0927,-0.1032,29,8.63,0.3,3.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5833,0.5667,0.5833,0.5742,0.5752,0.9345,-0.0208,-0.0209,29,8.63,0.3,4.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.4792,0.5269,0.4792,0.4971,0.441,0.7248,-0.1075,-0.111,29,8.63,0.3,4.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.528,0.5903,0.5516,0.4562,0.6834,-0.0982,-0.105,29,8.63,0.3,4.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.625,0.5615,0.625,0.5811,0.5885,0.6946,-0.0275,-0.0303,9,2.68,0.3,50.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6458,0.6058,0.6458,0.6173,0.5484,0.6392,0.0642,0.0676,9,2.68,0.3,50.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6667,0.5564,0.6667,0.5767,0.4965,0.6985,-0.0189,-0.0293,9,2.68,0.3,50.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5833,0.578,0.5833,0.5806,0.5597,0.9403,0.0055,0.0055,29,8.63,0.3,5.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.4861,0.5412,0.4861,0.5051,0.4615,0.7167,-0.0742,-0.0775,29,8.63,0.3,5.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6042,0.537,0.6042,0.5609,0.4906,0.6653,-0.0766,-0.0834,29,8.63,0.3,5.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.6042,0.5965,0.6042,0.6001,0.5557,0.7199,0.0491,0.0492,29,8.63,0.3,6.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.3819,0.5264,0.3819,0.3767,0.5017,0.7871,-0.0588,-0.0826,29,8.63,0.3,6.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.528,0.5903,0.5516,0.4409,0.6901,-0.0982,-0.105,29,8.63,0.3,6.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.6389,0.6297,0.6389,0.6338,0.5705,0.7054,0.1269,0.1272,29,8.63,0.3,7.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6042,0.5541,0.6042,0.5723,0.5106,0.652,-0.0459,-0.0483,29,8.63,0.3,7.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6319,0.5672,0.6319,0.5858,0.4778,0.6661,-0.016,-0.0178,29,8.63,0.3,7.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5972,0.6023,0.5972,0.5997,0.5635,0.719,0.0628,0.0629,29,8.63,0.3,8.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.625,0.5694,0.625,0.5869,0.4985,0.666,-0.0125,-0.0135,29,8.63,0.3,8.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.5368,0.5903,0.5573,0.4419,0.6771,-0.0826,-0.0869,29,8.63,0.3,8.0,10.0,0.1,300,1,336
RandomForest,Anonymous,0.5972,0.5972,0.5972,0.5972,0.5752,0.9295,0.0509,0.0509,29,8.63,0.3,9.0,10.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6319,0.5188,0.6319,0.5566,0.5169,0.6467,-0.0804,-0.1037,29,8.63,0.3,9.0,10.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.5368,0.5903,0.5573,0.469,0.6781,-0.0826,-0.0869,29,8.63,0.3,9.0,10.0,0.1,300,1,336
