Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.5625,0.6125,0.5625,0.5784,0.545,15.7691,0.0803,0.0836,29,8.63,0.3,10.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.625,0.625,0.625,0.625,0.5582,13.5164,0.1164,0.1164,29,8.63,0.3,10.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.625,0.6154,0.625,0.6197,0.5455,13.5164,0.0933,0.0935,29,8.63,0.3,10.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5833,0.641,0.5833,0.5993,0.5791,15.0182,0.1388,0.1462,29,8.63,0.3,11.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.5905,0.6111,0.5991,0.5164,14.017,0.0345,0.0348,29,8.63,0.3,11.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.625,0.6202,0.625,0.6225,0.5518,13.5164,0.105,0.105,29,8.63,0.3,11.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.4931,0.6742,0.4931,0.4917,0.5841,18.2721,0.1234,0.1693,28,8.33,0.3,12.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4931,0.6207,0.4931,0.5052,0.5459,18.2721,0.0714,0.0871,28,8.33,0.3,12.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6319,0.6202,0.6319,0.6253,0.5505,13.2661,0.1042,0.1046,28,8.33,0.3,12.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5417,0.7004,0.5417,0.5483,0.6191,16.52,0.1807,0.2305,28,8.33,0.3,13.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5208,0.5462,0.5208,0.5318,0.4641,17.2709,-0.0679,-0.0686,28,8.33,0.3,13.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.625,0.6154,0.625,0.6197,0.5455,13.5164,0.0933,0.0935,28,8.33,0.3,13.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5486,0.6155,0.5486,0.5663,0.5477,16.2697,0.0824,0.088,32,9.52,0.3,14.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5417,0.5845,0.5417,0.557,0.5109,16.52,0.0198,0.0204,32,9.52,0.3,14.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5764,0.5624,0.5764,0.5688,0.485,15.2685,-0.031,-0.0311,32,9.52,0.3,14.0,10.0,0.1,300,1,336
DecisionTree,TVAE_HYBRID,0.6528,0.5379,0.6528,0.5687,0.4827,12.5152,-0.0441,-0.0626,32,9.52,0.3,14.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5625,0.618,0.5625,0.579,0.5514,15.7691,0.0906,0.0951,32,9.52,0.3,15.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6042,0.5681,0.6042,0.5819,0.4923,14.2673,-0.0168,-0.0173,32,9.52,0.3,15.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5694,0.5581,0.5694,0.5634,0.48,15.5188,-0.041,-0.0411,32,9.52,0.3,15.0,10.0,0.1,300,1,336
DecisionTree,TVAE_HYBRID,0.6806,0.4793,0.6806,0.5624,0.49,11.5139,-0.0273,-0.0787,32,9.52,0.3,15.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.5957,0.5694,0.5801,0.5245,15.5188,0.0462,0.0467,17,5.06,0.3,16.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5972,0.5972,0.5972,0.5972,0.5255,14.5176,0.0509,0.0509,17,5.06,0.3,16.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.5596,0.5347,0.5453,0.4805,16.7703,-0.037,-0.0373,17,5.06,0.3,16.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5764,0.5947,0.5764,0.5843,0.5232,15.2685,0.0444,0.0447,17,5.06,0.3,17.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4931,0.6362,0.4931,0.5015,0.5586,18.2721,0.0894,0.113,17,5.06,0.3,17.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.5804,0.5347,0.5508,0.5059,16.7703,0.0107,0.011,17,5.06,0.3,17.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5833,0.6354,0.5833,0.5988,0.5727,15.0182,0.129,0.1348,23,6.85,0.3,18.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6319,0.6249,0.6319,0.6282,0.5568,13.2661,0.1158,0.116,23,6.85,0.3,18.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.6905,0.5417,0.5502,0.6127,16.52,0.1727,0.2162,23,6.85,0.3,18.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5486,0.5991,0.5486,0.565,0.5286,16.2697,0.0511,0.0532,23,6.85,0.3,19.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5694,0.5521,0.5694,0.56,0.4736,15.5188,-0.0548,-0.0551,23,6.85,0.3,19.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5625,0.7105,0.5625,0.5715,0.6341,15.7691,0.2064,0.2562,23,6.85,0.3,19.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.6042,0.6528,0.6042,0.6185,0.5941,14.2673,0.1679,0.1747,23,6.85,0.3,20.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5347,0.6192,0.5347,0.5527,0.5505,16.7703,0.0843,0.093,23,6.85,0.3,20.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.6494,0.5417,0.557,0.5809,16.52,0.1303,0.1505,23,6.85,0.3,20.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.6166,0.5694,0.5847,0.55,15.5188,0.0897,0.093,29,8.63,0.3,2.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6458,0.6058,0.6458,0.6173,0.5286,12.7655,0.0642,0.0676,29,8.63,0.3,2.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6042,0.5913,0.6042,0.5971,0.5177,14.2673,0.0366,0.0368,29,8.63,0.3,2.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.6042,0.6528,0.6042,0.6185,0.5941,14.2673,0.1679,0.1747,23,6.85,0.3,30.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5278,0.5816,0.5278,0.5453,0.5073,17.0206,0.0129,0.0135,23,6.85,0.3,30.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.6529,0.5347,0.5487,0.5823,16.7703,0.1305,0.1541,23,6.85,0.3,30.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.6275,0.5694,0.5859,0.5627,15.5188,0.11,0.116,29,8.63,0.3,3.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4931,0.5713,0.4931,0.5129,0.495,18.2721,-0.0084,-0.0092,29,8.63,0.3,3.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.5905,0.6111,0.5991,0.5164,14.017,0.0345,0.0348,29,8.63,0.3,3.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.6166,0.5694,0.5847,0.55,15.5188,0.0897,0.093,29,8.63,0.3,4.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4236,0.525,0.4236,0.4423,0.445,20.7752,-0.0881,-0.1025,29,8.63,0.3,4.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6181,0.6107,0.6181,0.6141,0.5405,13.7667,0.0825,0.0826,29,8.63,0.3,4.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.5854,0.5694,0.5765,0.5118,15.5188,0.0228,0.0229,9,2.68,0.3,50.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5694,0.639,0.5694,0.5864,0.5755,15.5188,0.1295,0.1391,9,2.68,0.3,50.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6389,0.6481,0.6389,0.6431,0.5873,13.0158,0.1702,0.1706,9,2.68,0.3,50.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5833,0.6354,0.5833,0.5988,0.5727,15.0182,0.129,0.1348,29,8.63,0.3,5.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4097,0.5099,0.4097,0.4289,0.4286,21.2758,-0.1143,-0.1331,29,8.63,0.3,5.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6389,0.6297,0.6389,0.6338,0.5618,13.0158,0.1269,0.1272,29,8.63,0.3,5.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5972,0.6489,0.5972,0.6121,0.5891,14.5176,0.1581,0.1652,29,8.63,0.3,6.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5972,0.6489,0.5972,0.6121,0.5891,14.5176,0.1581,0.1652,29,8.63,0.3,6.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.6011,0.6111,0.6057,0.5291,14.017,0.0597,0.0598,29,8.63,0.3,6.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5764,0.6206,0.5764,0.591,0.555,15.2685,0.0993,0.1025,29,8.63,0.3,7.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5347,0.5701,0.5347,0.5485,0.4932,16.7703,-0.0126,-0.0128,29,8.63,0.3,7.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.5959,0.6111,0.6025,0.5227,14.017,0.0473,0.0475,29,8.63,0.3,7.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.6166,0.5694,0.5847,0.55,15.5188,0.0897,0.093,29,8.63,0.3,8.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5278,0.566,0.5278,0.5424,0.4882,17.0206,-0.0217,-0.0222,29,8.63,0.3,8.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.6011,0.6111,0.6057,0.5291,14.017,0.0597,0.0598,29,8.63,0.3,8.0,10.0,0.1,300,1,336
DecisionTree,Anonymous,0.5694,0.622,0.5694,0.5854,0.5564,15.5188,0.1,0.1045,29,8.63,0.3,9.0,10.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4931,0.5352,0.4931,0.5094,0.4505,18.2721,-0.0905,-0.0928,29,8.63,0.3,9.0,10.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6042,0.5859,0.6042,0.5938,0.5114,14.2673,0.0238,0.024,29,8.63,0.3,9.0,10.0,0.1,300,1,336
