Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,13,3.87,0.3,10.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.625,0.5615,0.625,0.5811,0.4775,2.0968,-0.0275,-0.0303,13,3.87,0.3,10.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6111,0.5194,0.6111,0.5519,0.4456,3.5388,-0.098,-0.114,13,3.87,0.3,10.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,13,3.87,0.3,11.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.6667,0.6093,0.6667,0.6159,0.5299,3.7088,0.0588,0.0684,13,3.87,0.3,11.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6111,0.5194,0.6111,0.5519,0.4456,3.5388,-0.098,-0.114,13,3.87,0.3,11.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,13,3.87,0.3,12.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.5764,0.5681,0.5764,0.572,0.5141,1.38,-0.0176,-0.0176,13,3.87,0.3,12.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6111,0.5194,0.6111,0.5519,0.4456,3.5388,-0.098,-0.114,13,3.87,0.3,12.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,13,3.87,0.3,13.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.6597,0.6015,0.6597,0.6111,0.5007,3.0215,0.0465,0.0532,13,3.87,0.3,13.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6111,0.5194,0.6111,0.5519,0.4456,3.5388,-0.098,-0.114,13,3.87,0.3,13.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,14.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.625,0.4937,0.625,0.5437,0.4753,2.0986,-0.1096,-0.1455,14,4.17,0.3,14.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.506,0.5694,0.5319,0.3949,2.3927,-0.1458,-0.1546,14,4.17,0.3,14.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,15.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.6389,0.6156,0.6389,0.6243,0.5057,3.0582,0.0913,0.0927,14,4.17,0.3,15.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,15.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,16.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.5556,0.6195,0.5556,0.5729,0.5788,4.0652,0.0915,0.0973,14,4.17,0.3,16.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,16.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,17.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.625,0.5293,0.625,0.5605,0.4858,1.8527,-0.0752,-0.0906,14,4.17,0.3,17.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,17.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,18.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.6528,0.6217,0.6528,0.6313,0.4615,3.7735,0.1018,0.1052,14,4.17,0.3,18.0,10.0,0.05,300,1,336
