Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473,29,8.63,0.3,10.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6389,0.6944,0.5926,0.5955,0.6106,0.0341,0.0714,29,8.63,0.3,10.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143,29,8.63,0.3,10.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473,29,8.63,0.3,11.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5417,0.6004,0.5417,0.5592,0.5564,0.7012,0.0526,0.0555,29,8.63,0.3,11.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143,29,8.63,0.3,11.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.7014,0.6913,0.7014,0.5965,0.5475,2.1321,0.048,0.1143,29,8.63,0.3,11.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5347,0.6385,0.5347,0.5508,0.5964,0.7131,0.1126,0.1292,40,11.9,0.3,12.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.625,0.5293,0.625,0.5605,0.5066,0.6582,-0.0752,-0.0906,40,11.9,0.3,12.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5175,0.6482,0.0,0.0,40,11.9,0.3,12.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6875,0.6068,0.6875,0.5886,0.5557,1.4323,0.0206,0.0389,40,11.9,0.3,12.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5833,0.7202,0.5833,0.594,0.7707,0.6042,0.233,0.2818,84,25.0,0.3,13.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.8472,0.8535,0.8472,0.8359,0.7109,0.5742,0.5992,0.6264,84,25.0,0.3,13.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.5278,0.6034,0.5278,0.5463,0.5575,0.6788,0.0556,0.0603,84,25.0,0.3,13.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5833,0.7202,0.5833,0.594,0.7707,0.6042,0.233,0.2818,84,25.0,0.3,14.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.677,0.5881,0.0,0.0,84,25.0,0.3,14.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.5278,0.6034,0.5278,0.5463,0.5575,0.6788,0.0556,0.0603,84,25.0,0.3,14.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5417,0.7004,0.5417,0.5483,0.7757,0.625,0.1807,0.2305,70,20.83,0.3,15.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.7912,0.7014,0.5851,0.5298,0.609,0.0313,0.1261,70,20.83,0.3,15.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6319,0.5751,0.6319,0.5918,0.5682,0.6392,-0.001,-0.0011,70,20.83,0.3,15.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5417,0.7004,0.5417,0.5483,0.7757,0.625,0.1807,0.2305,70,20.83,0.3,16.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.2552,1.2185,0.0,0.0,70,20.83,0.3,16.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6319,0.5751,0.6319,0.5918,0.5682,0.6392,-0.001,-0.0011,70,20.83,0.3,16.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,17.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6528,0.6353,0.6528,0.6421,0.4943,0.6894,0.1379,0.1393,46,13.69,0.3,17.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,17.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,18.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.3366,0.6802,0.0,0.0,46,13.69,0.3,18.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,18.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.4722,0.6071,0.4722,0.482,0.5434,0.7178,0.0474,0.0593,98,29.17,0.3,19.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5241,0.622,0.0,0.0,98,29.17,0.3,19.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6389,0.6251,0.6389,0.6309,0.5518,0.6626,0.1153,0.1159,98,29.17,0.3,19.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.5417,0.6059,0.5417,0.5595,0.5468,1.4178,0.0631,0.0671,98,29.17,0.3,19.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.4722,0.6071,0.4722,0.482,0.5434,0.7178,0.0474,0.0593,98,29.17,0.3,20.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4975,0.6421,0.0,0.0,98,29.17,0.3,20.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6389,0.6251,0.6389,0.6309,0.5518,0.6626,0.1153,0.1159,98,29.17,0.3,20.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5556,0.7406,0.5556,0.5579,0.7705,0.8253,0.2206,0.2928,23,6.85,0.3,2.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5903,0.5651,0.5903,0.5758,0.3773,0.7357,-0.0241,-0.0244,23,6.85,0.3,2.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.68,0.6944,0.685,0.6257,0.6295,0.2414,0.2437,23,6.85,0.3,2.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.4653,0.6099,0.4653,0.4719,0.5539,0.8581,0.0487,0.0628,64,19.05,0.3,30.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.4514,0.5855,0.4514,0.4605,0.4859,0.7393,0.0146,0.0184,64,19.05,0.3,30.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4583,0.5774,0.4583,0.4722,0.4966,0.7273,0.0028,0.0034,64,19.05,0.3,30.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5903,0.7143,0.5903,0.6026,0.7761,0.7366,0.2343,0.2767,49,14.58,0.3,3.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6736,0.6179,0.6736,0.6208,0.5541,0.617,0.0714,0.0844,49,14.58,0.3,3.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7153,0.739,0.7153,0.6252,0.6177,0.6095,0.1076,0.2036,49,14.58,0.3,3.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5625,0.7316,0.5625,0.5679,0.7793,0.8301,0.2217,0.2855,47,13.99,0.3,4.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.7153,0.739,0.7153,0.6252,0.6202,0.5975,0.1076,0.2036,47,13.99,0.3,4.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7153,0.739,0.7153,0.6252,0.6043,0.6453,0.1076,0.2036,47,13.99,0.3,4.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.48,2.3499,0.0,0.0,47,13.99,0.3,4.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5347,0.6075,0.5347,0.553,0.5534,0.8024,0.0644,0.0695,120,35.71,0.3,50.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6111,0.5662,0.6111,0.5823,0.4823,0.6704,-0.0202,-0.0212,120,35.71,0.3,50.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6806,0.5575,0.6806,0.5741,0.5161,0.6389,-0.0098,-0.0204,120,35.71,0.3,50.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5252,2.0358,0.0,0.0,120,35.71,0.3,50.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5069,0.6933,0.5069,0.5056,0.7607,0.7246,0.1474,0.2022,52,15.48,0.3,5.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5694,0.5749,0.5694,0.5721,0.4793,0.7001,-0.0018,-0.0018,52,15.48,0.3,5.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6667,0.6625,0.6667,0.6644,0.6484,0.6068,0.2044,0.2045,52,15.48,0.3,5.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5208,0.7125,0.5208,0.5195,0.7589,0.9055,0.1714,0.2352,43,12.8,0.3,6.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.6068,0.6875,0.5886,0.3768,0.7399,0.0206,0.0389,43,12.8,0.3,6.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.6944,0.6944,0.6944,0.6548,0.6419,0.28,0.28,43,12.8,0.3,6.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.6667,0.7103,0.6667,0.6785,0.7541,0.6076,0.2953,0.3062,36,10.71,0.3,7.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.625,0.6055,0.625,0.6135,0.5152,0.6716,0.069,0.0696,36,10.71,0.3,7.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7161,0.7083,0.7117,0.705,0.6155,0.3298,0.3305,36,10.71,0.3,7.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6736,0.5854,0.6736,0.5901,0.4939,1.1982,0.0105,0.0156,36,10.71,0.3,7.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.6667,0.7103,0.6667,0.6785,0.7541,0.6076,0.2953,0.3062,36,10.71,0.3,8.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.4653,0.5033,0.4653,0.4811,0.385,0.844,-0.1637,-0.167,36,10.71,0.3,8.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7161,0.7083,0.7117,0.705,0.6155,0.3298,0.3305,36,10.71,0.3,8.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6458,0.5711,0.6458,0.5885,0.4523,1.58,-0.0077,-0.0091,36,10.71,0.3,8.0,2.0,0.5,300,1,336
LogisticRegression,Anonymous,0.5069,0.6933,0.5069,0.5056,0.7089,0.9657,0.1474,0.2022,61,18.15,0.3,9.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.6627,0.7014,0.633,0.4873,0.6576,0.1093,0.1498,61,18.15,0.3,9.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.8264,0.8241,0.8264,0.8166,0.728,0.5565,0.554,0.5695,61,18.15,0.3,9.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.5486,0.5624,0.5486,0.555,0.4891,1.3933,-0.0308,-0.0309,61,18.15,0.3,9.0,2.0,0.5,300,1,336
