Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.5278,0.7425,0.5278,0.5223,0.7342,0.8381,0.1947,0.2767,3,0.89,0.3,10.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6597,0.6321,0.6597,0.6406,0.546,0.6473,0.1259,0.1294,3,0.89,0.3,10.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5694,0.6112,0.5694,0.5838,0.5678,0.9413,0.0792,0.0815,3,0.89,0.3,10.0,2.0,0.01,300,1,336
RandomForest,TVAE_HYBRID,0.6736,0.6121,0.6736,0.6141,0.4912,5.6865,0.0569,0.0699,3,0.89,0.3,10.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6667,0.638,0.6667,0.646,0.6543,0.613,0.1377,0.1423,0,0.0,0.3,11.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5833,0.5544,0.5833,0.5665,0.485,0.6905,-0.0485,-0.0493,0,0.0,0.3,11.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5556,0.5823,0.5556,0.5665,0.5039,0.7434,0.0154,0.0156,0,0.0,0.3,11.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6736,0.6519,0.6736,0.6588,0.6825,0.599,0.173,0.1764,0,0.0,0.3,12.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5972,0.5223,0.5972,0.5501,0.4691,0.6951,-0.1036,-0.1141,0,0.0,0.3,12.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5556,0.5927,0.5556,0.5693,0.506,0.7396,0.0384,0.0393,0,0.0,0.3,12.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6667,0.638,0.6667,0.646,0.6655,0.612,0.1377,0.1423,0,0.0,0.3,13.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6319,0.5945,0.6319,0.607,0.5417,0.6528,0.0412,0.0428,0,0.0,0.3,13.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5625,0.5864,0.5625,0.5725,0.5212,0.7159,0.0249,0.0252,0,0.0,0.3,13.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6667,0.6338,0.6667,0.642,0.5923,0.646,0.1255,0.1312,0,0.0,0.3,14.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5903,0.5929,0.5903,0.5916,0.4643,0.7245,0.0407,0.0407,0,0.0,0.3,14.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5694,0.5639,0.5694,0.5666,0.4893,0.7424,-0.0276,-0.0276,0,0.0,0.3,14.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6181,0.5713,0.6181,0.5873,0.574,0.6686,-0.0092,-0.0097,0,0.0,0.3,15.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6667,0.625,0.6667,0.6328,0.5668,0.6426,0.1,0.1079,0,0.0,0.3,15.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6042,0.5859,0.6042,0.5938,0.4911,0.7396,0.0238,0.024,0,0.0,0.3,15.0,2.0,0.01,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5233,9.2049,0.0,0.0,0,0.0,0.3,15.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6806,0.6615,0.6806,0.6677,0.6695,0.6117,0.1961,0.1992,0,0.0,0.3,16.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6528,0.6065,0.6528,0.6175,0.5928,0.6221,0.0625,0.0674,0,0.0,0.3,16.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5694,0.5854,0.5694,0.5765,0.4907,0.7546,0.0228,0.0229,0,0.0,0.3,16.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6875,0.6576,0.6875,0.6623,0.668,0.5995,0.1743,0.1835,0,0.0,0.3,17.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.625,0.5766,0.625,0.5923,0.5399,0.6597,0.0021,0.0022,0,0.0,0.3,17.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5625,0.5864,0.5625,0.5725,0.5055,0.7165,0.0249,0.0252,0,0.0,0.3,17.0,2.0,0.01,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4568,10.7898,0.0,0.0,0,0.0,0.3,17.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6944,0.68,0.6944,0.685,0.6583,0.8421,0.2414,0.2437,0,0.0,0.3,18.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6528,0.5869,0.6528,0.5999,0.4674,0.703,0.0196,0.0228,0,0.0,0.3,18.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5556,0.5823,0.5556,0.5665,0.5158,0.7229,0.0154,0.0156,0,0.0,0.3,18.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6389,0.6481,0.6389,0.6431,0.5326,0.7276,0.1702,0.1706,0,0.0,0.3,19.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6319,0.6154,0.6319,0.6223,0.4747,0.7249,0.0923,0.093,0,0.0,0.3,19.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.625,0.6298,0.625,0.6273,0.5759,0.663,0.1275,0.1275,0,0.0,0.3,19.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6042,0.6067,0.6042,0.6054,0.5656,0.6926,0.0732,0.0732,0,0.0,0.3,20.0,2.0,0.01,,,
