Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,3,0.89,0.3,10.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.3125,0.5561,0.3125,0.169,,,-0.0017,-0.0088,3,0.89,0.3,10.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,3,0.89,0.3,10.0,10.0,0.01,300,1,336
SVM,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,3,0.89,0.3,10.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,11.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,11.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,11.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,12.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,12.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,12.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,14.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,14.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,14.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,15.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,,,-0.0138,-0.0555,0,0.0,0.3,15.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,15.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,16.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,16.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,16.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,17.0,10.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,17.0,10.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,17.0,10.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,18.0,10.0,0.01,,,
