Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.4583,0.631,0.4583,0.4553,0.5464,19.5236,0.0677,0.094,23,6.85,0.3,10.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5069,0.5909,0.5069,0.5259,0.5177,17.7715,0.0296,0.0327,23,6.85,0.3,10.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.625,0.6816,0.625,0.6393,0.6282,13.5164,0.2249,0.237,23,6.85,0.3,10.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4583,0.631,0.4583,0.4553,0.5464,19.5236,0.0677,0.094,23,6.85,0.3,11.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.5959,0.6111,0.6025,0.5227,14.017,0.0473,0.0475,23,6.85,0.3,11.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.646,0.6111,0.6232,0.5864,14.017,0.1586,0.1622,23,6.85,0.3,11.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4375,0.6255,0.4375,0.4255,0.5377,20.2746,0.0539,0.0795,23,6.85,0.3,12.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5486,0.5886,0.5486,0.5632,0.5159,16.2697,0.029,0.0298,23,6.85,0.3,12.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5903,0.6566,0.5903,0.6063,0.5968,14.7679,0.1671,0.1785,23,6.85,0.3,12.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4167,0.6078,0.4167,0.398,0.5227,21.0255,0.032,0.0493,23,6.85,0.3,13.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5694,0.5581,0.5694,0.5634,0.48,15.5188,-0.041,-0.0411,23,6.85,0.3,13.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5903,0.6566,0.5903,0.6063,0.5968,14.7679,0.1671,0.1785,23,6.85,0.3,13.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4375,0.6366,0.4375,0.4216,0.5441,20.2746,0.0624,0.0947,23,6.85,0.3,14.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4583,0.544,0.4583,0.479,0.4636,19.5236,-0.0604,-0.0671,23,6.85,0.3,14.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.646,0.6111,0.6232,0.5864,14.017,0.1586,0.1622,23,6.85,0.3,14.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4167,0.5977,0.4167,0.4022,0.5164,21.0255,0.0233,0.0348,23,6.85,0.3,15.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5764,0.5282,0.5764,0.5476,0.4532,15.2685,-0.1035,-0.1076,23,6.85,0.3,15.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5972,0.6604,0.5972,0.6129,0.6018,14.5176,0.1767,0.1879,23,6.85,0.3,15.0,15.0,0.1,300,1,336
DecisionTree,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,23,6.85,0.3,15.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4514,0.6728,0.4514,0.4318,0.5668,19.7739,0.0937,0.1465,23,6.85,0.3,16.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5139,0.5734,0.5139,0.5325,0.4973,17.5212,-0.0048,-0.005,23,6.85,0.3,16.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5972,0.6433,0.5972,0.6115,0.5827,14.5176,0.1485,0.1539,23,6.85,0.3,16.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5764,0.6315,0.5764,0.5923,0.5677,15.2685,0.1195,0.1254,23,6.85,0.3,17.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5278,0.5608,0.5278,0.541,0.4818,17.0206,-0.0338,-0.0344,23,6.85,0.3,17.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.6726,0.5417,0.5534,0.6,16.52,0.1563,0.189,23,6.85,0.3,17.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5625,0.6235,0.5625,0.5794,0.5577,15.7691,0.1007,0.1066,23,6.85,0.3,18.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5139,0.563,0.5139,0.5311,0.4845,17.5212,-0.0277,-0.0288,23,6.85,0.3,18.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5486,0.6763,0.5486,0.5609,0.605,16.2697,0.1649,0.1978,23,6.85,0.3,18.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5833,0.6468,0.5833,0.5996,0.5855,15.0182,0.1483,0.1577,23,6.85,0.3,19.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5625,0.576,0.5625,0.5687,0.5005,15.7691,0.0009,0.0009,23,6.85,0.3,19.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.7004,0.5417,0.5483,0.6191,16.52,0.1807,0.2305,23,6.85,0.3,19.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5903,0.6507,0.5903,0.6061,0.5905,14.7679,0.1578,0.1671,23,6.85,0.3,20.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5972,0.5972,0.5972,0.5972,0.5255,14.5176,0.0509,0.0509,23,6.85,0.3,20.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.6494,0.5417,0.557,0.5809,16.52,0.1303,0.1505,23,6.85,0.3,20.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4375,0.6366,0.4375,0.4216,0.5441,20.2746,0.0624,0.0947,23,6.85,0.3,2.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.4444,0.5675,0.4444,0.4568,0.4918,20.0243,-0.0127,-0.0156,23,6.85,0.3,2.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5903,0.6566,0.5903,0.6063,0.5968,14.7679,0.1671,0.1785,23,6.85,0.3,2.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5556,0.614,0.5556,0.5725,0.5464,16.0194,0.0813,0.0857,23,6.85,0.3,30.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.625,0.5892,0.625,0.6018,0.5136,13.5164,0.0299,0.0309,23,6.85,0.3,30.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5486,0.6849,0.5486,0.5594,0.6114,16.2697,0.1731,0.2112,23,6.85,0.3,30.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4514,0.6728,0.4514,0.4318,0.5668,19.7739,0.0937,0.1465,23,6.85,0.3,3.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5833,0.578,0.5833,0.5806,0.5027,15.0182,0.0055,0.0055,23,6.85,0.3,3.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6111,0.6623,0.6111,0.6255,0.6055,14.017,0.1871,0.1955,23,6.85,0.3,3.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.4583,0.6641,0.4583,0.4449,0.5655,19.5236,0.093,0.1393,23,6.85,0.3,4.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6389,0.5942,0.6389,0.6074,0.5173,13.0158,0.039,0.0414,23,6.85,0.3,4.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6319,0.6854,0.6319,0.6458,0.6332,13.2661,0.235,0.2466,23,6.85,0.3,4.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5903,0.5929,0.5903,0.5916,0.5205,14.7679,0.0407,0.0407,9,2.68,0.3,50.0,15.0,0.1,,,
