Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.5556,0.5666,0.5556,0.5607,0.5388,0.7004,-0.0213,-0.0213,16,4.76,0.3,10.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5042,0.7483,0.0,0.0,16,4.76,0.3,10.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6667,0.6151,0.6667,0.622,0.4748,0.6797,0.073,0.0823,16,4.76,0.3,10.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5764,0.5895,0.5764,0.5823,0.5314,0.7012,0.0326,0.0327,16,4.76,0.3,11.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.4028,0.5092,0.4028,0.4199,0.4372,0.7979,-0.1105,-0.1315,16,4.76,0.3,11.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.625,0.5615,0.625,0.5811,0.47,0.6975,-0.0275,-0.0303,16,4.76,0.3,11.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5903,0.5929,0.5903,0.5916,0.5481,0.6902,0.0407,0.0407,16,4.76,0.3,12.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6944,0.6369,0.6944,0.5815,0.6092,0.8997,0.0174,0.0501,16,4.76,0.3,12.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.4825,0.6803,0.039,0.0414,16,4.76,0.3,12.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5486,0.573,0.5486,0.5589,0.5426,0.7077,-0.006,-0.0061,16,4.76,0.3,13.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6806,0.4793,0.6806,0.5624,0.4224,0.7313,-0.0273,-0.0787,16,4.76,0.3,13.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6458,0.5941,0.6458,0.6072,0.5032,0.6633,0.0367,0.04,16,4.76,0.3,13.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5833,0.5886,0.5833,0.5859,0.5364,0.684,0.0305,0.0305,16,4.76,0.3,14.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6875,0.6414,0.6875,0.6369,0.4623,0.7283,0.1109,0.1311,16,4.76,0.3,14.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6875,0.6297,0.6875,0.6159,0.4886,0.6713,0.0679,0.093,16,4.76,0.3,14.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5903,0.6031,0.5903,0.596,0.5466,0.6934,0.0643,0.0645,16,4.76,0.3,15.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.7014,0.7912,0.7014,0.5851,0.4715,0.9618,0.0313,0.1261,16,4.76,0.3,15.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6667,0.6151,0.6667,0.622,0.4653,0.6855,0.073,0.0823,16,4.76,0.3,15.0,15.0,0.05,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5089,6.2417,0.0,0.0,16,4.76,0.3,15.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5417,0.5584,0.5417,0.5492,0.5192,0.7153,-0.0403,-0.0405,16,4.76,0.3,16.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.5903,0.5823,0.5903,0.5861,0.5145,0.678,0.0158,0.0158,16,4.76,0.3,16.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6597,0.6183,0.6597,0.6276,0.494,0.6764,0.0879,0.094,16,4.76,0.3,16.0,15.0,0.05,300,1,336
