Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,10.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,10.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,10.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,11.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,11.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,11.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,12.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,12.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,12.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,14.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,14.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,14.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,15.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,15.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,15.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,16.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6319,0.5821,0.6319,0.5972,,,0.0134,0.0144,14,4.17,0.3,16.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,16.0,10.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,17.0,10.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,17.0,10.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,14,4.17,0.3,17.0,10.0,0.05,300,1,336
