Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,10.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.6736,0.5407,0.6736,0.5704,0.4332,6.8057,-0.023,-0.0435,16,4.76,0.3,10.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,10.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,11.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.5417,0.5584,0.5417,0.5492,0.4709,2.2221,-0.0403,-0.0405,16,4.76,0.3,11.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,11.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,12.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.6944,0.6473,0.6944,0.6282,0.5449,4.1689,0.0959,0.1273,16,4.76,0.3,12.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,12.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,13.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.6736,0.5854,0.6736,0.5901,0.4707,5.6018,0.0105,0.0156,16,4.76,0.3,13.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,13.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,14.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.6736,0.6635,0.6736,0.6678,0.6589,1.3058,0.2056,0.2064,16,4.76,0.3,14.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,14.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,15.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.7014,0.6636,0.7014,0.625,0.5549,2.9746,0.0947,0.1401,16,4.76,0.3,15.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,15.0,15.0,0.05,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5068,9.8332,0.0,0.0,16,4.76,0.3,15.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,16.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.625,0.5694,0.625,0.5869,0.4689,1.8704,-0.0125,-0.0135,16,4.76,0.3,16.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,16.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,17.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.5903,0.5588,0.5903,0.5717,0.5017,3.0384,-0.0381,-0.0389,16,4.76,0.3,17.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,17.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,16,4.76,0.3,18.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.6528,0.6169,0.6528,0.6271,0.581,2.2719,0.0891,0.0931,16,4.76,0.3,18.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5072,0.6458,0.5553,0.5153,1.1245,-0.0737,-0.109,16,4.76,0.3,18.0,15.0,0.05,300,1,336
