Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,10.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6736,0.5854,0.6736,0.5901,,,0.0105,0.0156,23,6.85,0.3,10.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,10.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,11.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,11.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,11.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,12.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,12.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,12.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,13.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,13.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,13.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,14.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.5417,0.5689,0.5417,0.553,,,-0.0154,-0.0156,23,6.85,0.3,14.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,14.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,15.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,15.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,15.0,15.0,0.1,300,1,336
SVM,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,15.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,16.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,16.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.7083,0.7946,0.7083,0.6005,,,0.062,0.1789,23,6.85,0.3,16.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,17.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6806,0.4793,0.6806,0.5624,,,-0.0273,-0.0787,23,6.85,0.3,17.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,17.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,18.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,18.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,18.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,19.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,19.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,19.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,20.0,15.0,0.1,,,
SVM,CTGAN_HYBRID,0.6806,0.6166,0.6806,0.6113,,,0.0548,0.0727,23,6.85,0.3,20.0,15.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,20.0,15.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,23,6.85,0.3,2.0,15.0,0.1,,,
