Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.6389,0.6156,0.6389,0.6243,0.5427,13.0158,0.0913,0.0927,,,0.3,,,,500.0,10.0,3360
DecisionTree,TVAE,0.6667,0.6295,0.6667,0.6376,0.55,12.0146,0.1129,0.1198,,,0.3,,,,500.0,10.0,3360
DecisionTree,CTGAN,0.6597,0.5945,0.6597,0.6047,0.5132,12.2649,0.0318,0.0376,,,0.3,,,,500.0,1.0,336
DecisionTree,TVAE,0.625,0.6298,0.625,0.6273,0.5645,13.5164,0.1275,0.1275,,,0.3,,,,500.0,1.0,336
DecisionTree,CTGAN,0.6111,0.5959,0.6111,0.6025,0.5227,14.017,0.0473,0.0475,,,0.3,,,,500.0,2.0,672
DecisionTree,TVAE,0.6875,0.6708,0.6875,0.6764,0.6032,11.2636,0.2189,0.2216,,,0.3,,,,500.0,2.0,672
DecisionTree,CTGAN,0.6458,0.6002,0.6458,0.6124,0.5223,12.7655,0.0507,0.0542,,,0.3,,,,500.0,3.0,1008
DecisionTree,TVAE,0.6458,0.5798,0.6458,0.5952,0.5032,12.7655,0.0076,0.0087,,,0.3,,,,500.0,3.0,1008
DecisionTree,CTGAN,0.6389,0.6156,0.6389,0.6243,0.5427,13.0158,0.0913,0.0927,,,0.3,,,,500.0,5.0,1680
DecisionTree,TVAE,0.6111,0.5509,0.6111,0.5716,0.4782,14.017,-0.05,-0.0539,,,0.3,,,,500.0,5.0,1680
