Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.5868,0.6477,0.0,0.0,,,0.3,,,,500.0,10.0,3360
RandomForest,TVAE,0.6806,0.6318,0.6806,0.632,0.6792,1.1195,0.098,0.114,,,0.3,,,,500.0,10.0,3360
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.522,1.0125,0.0,0.0,,,0.3,,,,500.0,1.0,336
RandomForest,TVAE,0.625,0.5524,0.625,0.5748,0.4956,1.2535,-0.0429,-0.0484,,,0.3,,,,500.0,1.0,336
RandomForest,CTGAN,0.7014,0.7912,0.7014,0.5851,0.5517,0.6255,0.0313,0.1261,,,0.3,,,,500.0,2.0,672
RandomForest,TVAE,0.6458,0.5711,0.6458,0.5885,0.6174,0.7341,-0.0077,-0.0091,,,0.3,,,,500.0,2.0,672
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.555,0.6871,0.0,0.0,,,0.3,,,,500.0,3.0,1008
RandomForest,TVAE,0.6806,0.5997,0.6806,0.5943,0.5868,1.0002,0.0236,0.0366,,,0.3,,,,500.0,3.0,1008
RandomForest,CTGAN,0.6875,0.4808,0.6875,0.5658,0.5906,0.6282,-0.0138,-0.0555,,,0.3,,,,500.0,5.0,1680
RandomForest,TVAE,0.6528,0.5783,0.6528,0.5931,0.6307,0.9425,0.0044,0.0053,,,0.3,,,,500.0,5.0,1680
