Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.5417,0.553,0.5417,0.547,0.4727,16.52,-0.0532,-0.0533,,,0.3,,,,300.0,10.0,3360
DecisionTree,GaussianCopula,0.6389,0.6343,0.6389,0.6365,0.5682,13.0158,0.1381,0.1382,,,0.3,,,,300.0,10.0,3360
DecisionTree,TVAE,0.6667,0.5952,0.6667,0.6022,0.5118,12.0146,0.0292,0.0368,,,0.3,,,,300.0,10.0,3360
DecisionTree,CTGAN,0.5278,0.5978,0.5278,0.5463,0.5264,17.0206,0.0452,0.0486,,,0.3,,,,300.0,1.0,336
DecisionTree,GaussianCopula,0.6319,0.6249,0.6319,0.6282,0.5568,13.2661,0.1158,0.116,,,0.3,,,,300.0,1.0,336
DecisionTree,TVAE,0.625,0.5524,0.625,0.5748,0.4818,13.5164,-0.0429,-0.0484,,,0.3,,,,300.0,1.0,336
DecisionTree,CTGAN,0.5903,0.5711,0.5903,0.5795,0.495,14.7679,-0.0105,-0.0105,,,0.3,,,,300.0,2.0,672
DecisionTree,GaussianCopula,0.6389,0.6435,0.6389,0.6411,0.5809,13.0158,0.1598,0.1599,,,0.3,,,,300.0,2.0,672
DecisionTree,TVAE,0.6111,0.585,0.6111,0.5954,0.51,14.017,0.0214,0.0217,,,0.3,,,,300.0,2.0,672
DecisionTree,CTGAN,0.5417,0.5584,0.5417,0.5492,0.4791,16.52,-0.0403,-0.0405,,,0.3,,,,300.0,3.0,1008
DecisionTree,GaussianCopula,0.5972,0.5972,0.5972,0.5972,0.5255,14.5176,0.0509,0.0509,,,0.3,,,,300.0,3.0,1008
DecisionTree,TVAE,0.6597,0.6183,0.6597,0.6276,0.5386,12.2649,0.0879,0.094,,,0.3,,,,300.0,3.0,1008
DecisionTree,CTGAN,0.5833,0.5886,0.5833,0.5859,0.5155,15.0182,0.0305,0.0305,,,0.3,,,,300.0,5.0,1680
DecisionTree,GaussianCopula,0.6319,0.6154,0.6319,0.6223,0.5441,13.2661,0.0923,0.093,,,0.3,,,,300.0,5.0,1680
DecisionTree,TVAE,0.6806,0.6166,0.6806,0.6113,0.5218,11.5139,0.0548,0.0727,,,0.3,,,,300.0,5.0,1680
DecisionTree,CTGAN,0.5417,0.553,0.5417,0.547,0.4727,16.52,-0.0532,-0.0533,,,0.05,,,,300,1,336
DecisionTree,GaussianCopula,0.6181,0.6253,0.6181,0.6214,0.5595,13.7667,0.1169,0.117,,,0.05,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.05,,,,300,1,336
DecisionTree,CTGAN,0.5417,0.6232,0.5417,0.5595,0.5555,16.52,0.0931,0.1022,,,0.1,,,,300,1,336
DecisionTree,GaussianCopula,0.6597,0.6754,0.6597,0.6661,0.6214,12.2649,0.2324,0.2338,,,0.1,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.1,,,,300,1,336
DecisionTree,CTGAN,0.5625,0.6072,0.5625,0.5776,0.5386,15.7691,0.0697,0.072,,,0.15,,,,300,1,336
DecisionTree,GaussianCopula,0.6181,0.6302,0.6181,0.6234,0.5659,13.7667,0.1278,0.1282,,,0.15,,,,300,1,336
DecisionTree,TVAE,0.6181,0.547,0.6181,0.5702,0.4768,13.7667,-0.0543,-0.0605,,,0.15,,,,300,1,336
DecisionTree,CTGAN,0.5347,0.6529,0.5347,0.5487,0.5823,16.7703,0.1305,0.1541,,,0.2,,,,300,1,336
DecisionTree,GaussianCopula,0.6389,0.6529,0.6389,0.6448,0.5936,13.0158,0.1804,0.1812,,,0.2,,,,300,1,336
DecisionTree,TVAE,0.625,0.5524,0.625,0.5748,0.4818,13.5164,-0.0429,-0.0484,,,0.2,,,,300,1,336
DecisionTree,CTGAN,0.5833,0.6142,0.5833,0.595,0.5473,15.0182,0.0878,0.0893,,,0.25,,,,300,1,336
DecisionTree,GaussianCopula,0.625,0.6345,0.625,0.6293,0.5709,13.5164,0.1383,0.1386,,,0.25,,,,300,1,336
DecisionTree,TVAE,0.6319,0.5476,0.6319,0.5724,0.4805,13.2661,-0.0472,-0.0558,,,0.25,,,,300,1,336
DecisionTree,CTGAN,0.5347,0.5649,0.5347,0.547,0.4868,16.7703,-0.0246,-0.025,,,0.3,,,,300,1,336
DecisionTree,GaussianCopula,0.6042,0.6067,0.6042,0.6054,0.5368,14.2673,0.0732,0.0732,,,0.3,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.3,,,,300,1,336
DecisionTree,CTGAN,0.5208,0.5775,0.5208,0.5389,0.5023,17.2709,0.004,0.0042,,,0.35,,,,300,1,336
DecisionTree,GaussianCopula,0.5972,0.6073,0.5972,0.6019,0.5382,14.5176,0.0745,0.0746,,,0.35,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.35,,,,300,1,336
DecisionTree,CTGAN,0.6389,0.5733,0.6389,0.5905,0.4982,13.0158,-0.0043,-0.0048,,,0.4,,,,300,1,336
DecisionTree,GaussianCopula,0.6667,0.6583,0.6667,0.662,0.5945,12.0146,0.194,0.1945,,,0.4,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.4,,,,300,1,336
DecisionTree,CTGAN,0.5903,0.5768,0.5903,0.5829,0.5014,14.7679,0.0028,0.0028,,,0.45,,,,300,1,336
DecisionTree,GaussianCopula,0.6389,0.6343,0.6389,0.6365,0.5682,13.0158,0.1381,0.1382,,,0.45,,,,300,1,336
DecisionTree,TVAE,0.625,0.5524,0.625,0.5748,0.4818,13.5164,-0.0429,-0.0484,,,0.45,,,,300,1,336
DecisionTree,CTGAN,0.5833,0.5833,0.5833,0.5833,0.5091,15.0182,0.0182,0.0182,,,0.5,,,,300,1,336
DecisionTree,GaussianCopula,0.6528,0.6617,0.6528,0.6568,0.6036,12.5152,0.2021,0.2025,,,0.5,,,,300,1,336
DecisionTree,TVAE,0.6389,0.5538,0.6389,0.5768,0.4855,13.0158,-0.0354,-0.0426,,,0.5,,,,300,1,336
DecisionTree,CTGAN,0.5833,0.5324,0.5833,0.5525,0.4582,15.0182,-0.0931,-0.0973,,,0.55,,,,300,1,336
DecisionTree,GaussianCopula,0.6042,0.6266,0.6042,0.6132,0.5623,14.2673,0.1178,0.119,,,0.55,,,,300,1,336
DecisionTree,TVAE,0.6319,0.5476,0.6319,0.5724,0.4805,13.2661,-0.0472,-0.0558,,,0.55,,,,300,1,336
