Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.6111,0.5662,0.6111,0.5823,0.4782,3.787,-0.0202,-0.0212,,,0.3,,,,250.0,10.0,3360
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,,,0.3,,,,250.0,10.0,3360
KNN,CTGAN,0.5486,0.5335,0.5486,0.5405,0.4391,3.589,-0.0986,-0.0989,,,0.3,,,,250.0,1.0,336
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.475,11.0211,0.0,0.0,,,0.3,,,,250.0,1.0,336
KNN,CTGAN,0.6181,0.5641,0.6181,0.582,0.5118,1.623,-0.0238,-0.0254,,,0.3,,,,250.0,2.0,672
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.485,11.018,0.0,0.0,,,0.3,,,,250.0,2.0,672
KNN,CTGAN,0.6042,0.5913,0.6042,0.5971,0.4855,2.8379,0.0366,0.0368,,,0.3,,,,250.0,3.0,1008
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.49,11.0164,0.0,0.0,,,0.3,,,,250.0,3.0,1008
KNN,CTGAN,0.5972,0.5697,0.5972,0.581,0.5534,0.6515,-0.0136,-0.0138,,,0.3,,,,250.0,5.0,1680
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,,,0.3,,,,250.0,5.0,1680
