Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.6806,0.6435,0.6806,0.6481,0.6261,0.6159,0.1375,0.1483,,,0.3,,,,1000.0,10.0,3360
RandomForest,TVAE,0.7986,0.7923,0.7986,0.7933,0.7641,0.5136,0.5033,0.507,,,0.3,,,,1000.0,10.0,3360
RandomForest,CTGAN,0.6597,0.6183,0.6597,0.6276,0.5526,0.7043,0.0879,0.094,,,0.3,,,,1000.0,1.0,336
RandomForest,TVAE,0.8056,0.7994,0.8056,0.7996,0.7733,0.5021,0.5172,0.5222,,,0.3,,,,1000.0,1.0,336
RandomForest,CTGAN,0.6458,0.5798,0.6458,0.5952,0.5833,0.6401,0.0076,0.0087,,,0.3,,,,1000.0,2.0,672
RandomForest,TVAE,0.7778,0.771,0.7778,0.7729,0.7762,0.5052,0.4556,0.458,,,0.3,,,,1000.0,2.0,672
RandomForest,CTGAN,0.6806,0.6318,0.6806,0.632,0.6205,0.626,0.098,0.114,,,0.3,,,,1000.0,3.0,1008
RandomForest,TVAE,0.7708,0.7669,0.7708,0.7685,0.7753,0.5148,0.4495,0.4501,,,0.3,,,,1000.0,3.0,1008
RandomForest,CTGAN,0.6667,0.6093,0.6667,0.6159,0.5256,0.6566,0.0588,0.0684,,,0.3,,,,1000.0,5.0,1680
RandomForest,TVAE,0.7917,0.7872,0.7917,0.7887,0.7673,0.5199,0.4963,0.4974,,,0.3,,,,1000.0,5.0,1680
