Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,CTGAN,0.7014,0.6913,0.7014,0.5965,,,0.048,0.1143,,,0.3,,,,200.0,10.0,3360
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,10.0,3360
SVM,CTGAN,0.6736,0.5967,0.6736,0.5988,,,0.0265,0.0363,,,0.3,,,,200.0,1.0,336
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,1.0,336
SVM,CTGAN,0.6944,0.6369,0.6944,0.5815,,,0.0174,0.0501,,,0.3,,,,200.0,2.0,672
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,2.0,672
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,3.0,1008
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,3.0,1008
SVM,CTGAN,0.6806,0.5575,0.6806,0.5741,,,-0.0098,-0.0204,,,0.3,,,,200.0,5.0,1680
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,200.0,5.0,1680
