Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.5208,0.5515,0.5208,0.5335,0.4705,17.2709,-0.0552,-0.056,,,0.3,,,,250.0,10.0,3360
DecisionTree,TVAE,0.6806,0.5997,0.6806,0.5943,0.5091,11.5139,0.0236,0.0366,,,0.3,,,,250.0,10.0,3360
DecisionTree,CTGAN,0.6181,0.6107,0.6181,0.6141,0.5405,13.7667,0.0825,0.0826,,,0.3,,,,250.0,1.0,336
DecisionTree,TVAE,0.7014,0.7912,0.7014,0.5851,0.5114,10.763,0.0313,0.1261,,,0.3,,,,250.0,1.0,336
DecisionTree,CTGAN,0.5833,0.6091,0.5833,0.5936,0.5409,15.0182,0.0769,0.0778,,,0.3,,,,250.0,2.0,672
DecisionTree,TVAE,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,,,0.3,,,,250.0,2.0,672
DecisionTree,CTGAN,0.5069,0.5381,0.5069,0.52,0.4541,17.7715,-0.0858,-0.0871,,,0.3,,,,250.0,3.0,1008
DecisionTree,TVAE,0.7014,0.6913,0.7014,0.5965,0.5177,10.763,0.048,0.1143,,,0.3,,,,250.0,3.0,1008
DecisionTree,CTGAN,0.5278,0.5712,0.5278,0.5436,0.4945,17.0206,-0.0099,-0.0102,,,0.3,,,,250.0,5.0,1680
DecisionTree,TVAE,0.7014,0.6913,0.7014,0.5965,0.5177,10.763,0.048,0.1143,,,0.3,,,,250.0,5.0,1680
