Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.7292,0.7472,0.7292,0.7354,0.7095,9.7618,0.3964,0.4003,0,0.0,0.3,8.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.6389,0.5942,0.6389,0.6074,0.5173,13.0158,0.039,0.0414,0,0.0,0.3,8.0,2.0,0.01,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5903,0.5768,0.5903,0.5829,0.5014,14.7679,0.0028,0.0028,0,0.0,0.3,8.0,2.0,0.01,300,1,336
DecisionTree,TVAE_HYBRID,0.7153,0.6916,0.7153,0.657,0.5659,10.2624,0.1642,0.2119,0,0.0,0.3,8.0,2.0,0.01,300,1,336
DecisionTree,Anonymous,0.5347,0.6969,0.5347,0.5405,0.6141,16.7703,0.1723,0.2218,8,2.38,0.3,8.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.5486,0.573,0.5486,0.5589,0.4968,16.2697,-0.006,-0.0061,8,2.38,0.3,8.0,2.0,0.05,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5625,0.5416,0.5625,0.551,0.4623,15.7691,-0.079,-0.0795,8,2.38,0.3,8.0,2.0,0.05,300,1,336
DecisionTree,TVAE_HYBRID,0.6736,0.5854,0.6736,0.5901,0.5041,11.7642,0.0105,0.0156,8,2.38,0.3,8.0,2.0,0.05,300,1,336
DecisionTree,Anonymous,0.4514,0.6593,0.4514,0.4359,0.5605,19.7739,0.0855,0.1298,23,6.85,0.3,8.0,2.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5903,0.5877,0.5903,0.5889,0.5141,14.7679,0.0284,0.0284,23,6.85,0.3,8.0,2.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.4167,0.5801,0.4167,0.4099,0.5036,21.0255,0.0053,0.0075,23,6.85,0.3,8.0,2.0,0.1,300,1,336
DecisionTree,Anonymous,0.5903,0.6827,0.5903,0.6057,0.6223,14.7679,0.2021,0.2258,36,10.71,0.3,8.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.4583,0.4831,0.4583,0.4696,0.3873,19.5236,-0.2145,-0.2162,36,10.71,0.3,8.0,2.0,0.2,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6806,0.6651,0.6806,0.6707,0.5982,11.5139,0.2069,0.2089,36,10.71,0.3,8.0,2.0,0.2,300,1,336
DecisionTree,TVAE_HYBRID,0.5139,0.5314,0.5139,0.5219,0.4464,17.5212,-0.1033,-0.1038,36,10.71,0.3,8.0,2.0,0.2,300,1,336
DecisionTree,Anonymous,0.5764,0.6551,0.5764,0.593,0.5932,15.2685,0.1573,0.1717,36,10.71,0.3,8.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5208,0.5619,0.5208,0.5363,0.4832,17.2709,-0.0307,-0.0315,36,10.71,0.3,8.0,2.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6181,0.5953,0.6181,0.6045,0.5214,13.7667,0.0453,0.0459,36,10.71,0.3,8.0,2.0,0.5,300,1,336
DecisionTree,TVAE_HYBRID,0.6319,0.5476,0.6319,0.5724,0.4805,13.2661,-0.0472,-0.0558,36,10.71,0.3,8.0,2.0,0.5,300,1,336
