Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,0,0.0,0.3,6.0,5.0,0.01,,,
KNN,CTGAN_HYBRID,0.6111,0.5509,0.6111,0.5716,0.516,2.3614,-0.05,-0.0539,0,0.0,0.3,6.0,5.0,0.01,300,1,336
KNN,GaussianCopula_HYBRID,0.6181,0.49,0.6181,0.5398,0.5162,3.4777,-0.1212,-0.1564,0,0.0,0.3,6.0,5.0,0.01,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.498,8.4184,0.0,0.0,0,0.0,0.3,6.0,5.0,0.01,300,1,336
KNN,Anonymous,0.6458,0.6161,0.6458,0.6259,0.4838,2.8169,0.0902,0.0927,9,2.68,0.3,6.0,5.0,0.05,,,
KNN,CTGAN_HYBRID,0.6181,0.6006,0.6181,0.608,0.5284,1.3723,0.058,0.0585,9,2.68,0.3,6.0,5.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.5833,0.5404,0.5833,0.5575,0.4691,3.5361,-0.0778,-0.0804,9,2.68,0.3,6.0,5.0,0.05,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4982,9.6003,0.0,0.0,9,2.68,0.3,6.0,5.0,0.05,300,1,336
KNN,Anonymous,0.6458,0.6161,0.6458,0.6259,0.4841,2.5777,0.0902,0.0927,31,9.23,0.3,6.0,5.0,0.1,,,
KNN,CTGAN_HYBRID,0.6319,0.5751,0.6319,0.5918,0.45,2.6043,-0.001,-0.0011,31,9.23,0.3,6.0,5.0,0.1,300,1,336
KNN,GaussianCopula_HYBRID,0.6597,0.6321,0.6597,0.6406,0.5605,2.059,0.1259,0.1294,31,9.23,0.3,6.0,5.0,0.1,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5282,7.2378,0.0,0.0,31,9.23,0.3,6.0,5.0,0.1,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,43,12.8,0.3,6.0,5.0,0.2,,,
KNN,CTGAN_HYBRID,0.6319,0.5582,0.6319,0.5794,0.4568,1.8737,-0.0314,-0.0359,43,12.8,0.3,6.0,5.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5833,0.5544,0.5833,0.5665,0.5236,1.1551,-0.0485,-0.0493,43,12.8,0.3,6.0,5.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4927,10.5444,0.0,0.0,43,12.8,0.3,6.0,5.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,43,12.8,0.3,6.0,5.0,0.5,,,
KNN,CTGAN_HYBRID,0.5694,0.506,0.5694,0.5319,0.4523,1.9294,-0.1458,-0.1546,43,12.8,0.3,6.0,5.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.5833,0.5544,0.5833,0.5665,0.5236,1.1551,-0.0485,-0.0493,43,12.8,0.3,6.0,5.0,0.5,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4932,9.6018,0.0,0.0,43,12.8,0.3,6.0,5.0,0.5,300,1,336
