Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.6944,0.6409,0.6944,0.6027,0.58,0.6131,0.0504,0.088,0,0.0,0.3,16.0,5.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.6297,0.6875,0.6159,0.5068,0.643,0.0679,0.093,0,0.0,0.3,16.0,5.0,0.01,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5702,0.6596,-0.0138,-0.0555,0,0.0,0.3,16.0,5.0,0.01,300,1,336
LogisticRegression,Anonymous,0.6944,0.6473,0.6944,0.6282,0.5745,0.615,0.0959,0.1273,14,4.17,0.3,16.0,5.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.5417,0.553,0.5417,0.547,0.4527,0.7002,-0.0532,-0.0533,14,4.17,0.3,16.0,5.0,0.05,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.6369,0.6944,0.5815,0.5214,0.6377,0.0174,0.0501,14,4.17,0.3,16.0,5.0,0.05,300,1,336
LogisticRegression,Anonymous,0.5347,0.6455,0.5347,0.5498,0.5902,0.7964,0.1216,0.1415,17,5.06,0.3,16.0,5.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.4444,0.5804,0.4444,0.4525,0.4968,0.8166,0.0069,0.0088,17,5.06,0.3,16.0,5.0,0.1,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4583,0.6131,0.4583,0.4612,0.5741,0.7254,0.0501,0.0665,17,5.06,0.3,16.0,5.0,0.1,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7657,0.7646,0.1633,0.2266,46,13.69,0.3,16.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.643,0.6944,0.612,0.6373,0.6072,0.066,0.1024,46,13.69,0.3,16.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7222,0.7339,0.7222,0.7268,0.725,0.5965,0.3695,0.3712,46,13.69,0.3,16.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5417,0.7004,0.5417,0.5483,0.7757,0.625,0.1807,0.2305,70,20.83,0.3,16.0,5.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6369,0.6944,0.5815,0.3009,0.7393,0.0174,0.0501,70,20.83,0.3,16.0,5.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.6319,0.5751,0.6319,0.5918,0.5682,0.6392,-0.001,-0.0011,70,20.83,0.3,16.0,5.0,0.5,300,1,336
