Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6458,0.6111,0.6458,0.6218,0.5869,0.6565,0.0774,0.0804,0,0.0,0.3,14.0,5.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.625,0.6055,0.625,0.6135,0.4707,0.7121,0.069,0.0696,0,0.0,0.3,14.0,5.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5764,0.5791,0.5764,0.5777,0.4797,0.7548,0.0081,0.0081,0,0.0,0.3,14.0,5.0,0.01,300,1,336
RandomForest,Anonymous,0.5972,0.6174,0.5972,0.6056,0.53,0.7411,0.0969,0.0976,14,4.17,0.3,14.0,5.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6875,0.5845,0.6875,0.5778,0.4902,0.6627,0.0037,0.0088,14,4.17,0.3,14.0,5.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.4653,0.559,0.4653,0.4846,0.4382,0.8364,-0.0305,-0.0345,14,4.17,0.3,14.0,5.0,0.05,300,1,336
RandomForest,Anonymous,0.5764,0.5895,0.5764,0.5823,0.5202,0.778,0.0326,0.0327,32,9.52,0.3,14.0,5.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6667,0.625,0.6667,0.6328,0.5251,0.6447,0.1,0.1079,32,9.52,0.3,14.0,5.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.625,0.5766,0.625,0.5923,0.5499,0.6458,0.0021,0.0022,32,9.52,0.3,14.0,5.0,0.1,300,1,336
RandomForest,TVAE_HYBRID,0.6806,0.4793,0.6806,0.5624,0.471,8.6921,-0.0273,-0.0787,32,9.52,0.3,14.0,5.0,0.1,300,1,336
RandomForest,Anonymous,0.5347,0.6385,0.5347,0.5508,0.5587,1.113,0.1126,0.1292,46,13.69,0.3,14.0,5.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.6389,0.5942,0.6389,0.6074,0.5843,0.626,0.039,0.0414,46,13.69,0.3,14.0,5.0,0.2,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6944,0.6984,0.6944,0.6963,0.7092,0.5789,0.289,0.2892,46,13.69,0.3,14.0,5.0,0.2,300,1,336
RandomForest,Anonymous,0.6319,0.6796,0.6319,0.6453,0.6273,0.7635,0.2263,0.2355,84,25.0,0.3,14.0,5.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6042,0.546,0.6042,0.5668,0.4716,0.6886,-0.061,-0.0652,84,25.0,0.3,14.0,5.0,0.5,300,1,336
RandomForest,GaussianCopula_HYBRID,0.4861,0.5207,0.4861,0.5005,0.4532,0.7207,-0.125,-0.1271,84,25.0,0.3,14.0,5.0,0.5,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5255,5.6123,0.0,0.0,84,25.0,0.3,14.0,5.0,0.5,300,1,336
