Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.4444,0.642,0.4444,0.4307,0.5491,20.0243,0.0698,0.1044,3,0.89,0.3,3.0,5.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.6806,0.6507,0.6806,0.6569,0.5727,11.5139,0.1619,0.1693,3,0.89,0.3,3.0,5.0,0.01,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5278,0.566,0.5278,0.5424,0.4882,17.0206,-0.0217,-0.0222,3,0.89,0.3,3.0,5.0,0.01,300,1,336
DecisionTree,TVAE_HYBRID,0.6736,0.5854,0.6736,0.5901,0.5041,11.7642,0.0105,0.0156,3,0.89,0.3,3.0,5.0,0.01,300,1,336
DecisionTree,Anonymous,0.6111,0.7158,0.6111,0.6249,0.6564,14.017,0.2544,0.2899,15,4.46,0.3,3.0,5.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.5347,0.5434,0.5347,0.5388,0.4614,16.7703,-0.0758,-0.0759,15,4.46,0.3,3.0,5.0,0.05,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5069,0.5745,0.5069,0.5263,0.4986,17.7715,-0.0024,-0.0025,15,4.46,0.3,3.0,5.0,0.05,300,1,336
DecisionTree,Anonymous,0.5833,0.6791,0.5833,0.5987,0.6173,15.0182,0.1928,0.2168,26,7.74,0.3,3.0,5.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6806,0.6435,0.6806,0.6481,0.56,11.5139,0.1375,0.1483,26,7.74,0.3,3.0,5.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5972,0.5972,0.5972,0.5972,0.5255,14.5176,0.0509,0.0509,26,7.74,0.3,3.0,5.0,0.1,300,1,336
DecisionTree,Anonymous,0.5417,0.6567,0.5417,0.556,0.5873,16.52,0.1391,0.1631,40,11.9,0.3,3.0,5.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.5347,0.5596,0.5347,0.5453,0.4805,16.7703,-0.037,-0.0373,40,11.9,0.3,3.0,5.0,0.2,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5486,0.5624,0.5486,0.555,0.4841,16.2697,-0.0308,-0.0309,40,11.9,0.3,3.0,5.0,0.2,300,1,336
DecisionTree,TVAE_HYBRID,0.5069,0.516,0.5069,0.5113,0.4286,17.7715,-0.1401,-0.1402,40,11.9,0.3,3.0,5.0,0.2,300,1,336
DecisionTree,Anonymous,0.5833,0.7202,0.5833,0.594,0.6491,15.0182,0.233,0.2818,40,11.9,0.3,3.0,5.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5278,0.566,0.5278,0.5424,0.4882,17.0206,-0.0217,-0.0222,40,11.9,0.3,3.0,5.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5833,0.6194,0.5833,0.5962,0.5536,15.0182,0.0985,0.1008,40,11.9,0.3,3.0,5.0,0.5,300,1,336
DecisionTree,TVAE_HYBRID,0.6944,0.6369,0.6944,0.5815,0.5064,11.0133,0.0174,0.0501,40,11.9,0.3,3.0,5.0,0.5,300,1,336
