Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,0,0.0,0.3,15.0,10.0,0.01,,,
KNN,CTGAN_HYBRID,0.6181,0.6156,0.6181,0.6168,0.5064,2.5968,0.0942,0.0942,0,0.0,0.3,15.0,10.0,0.01,300,1,336
KNN,GaussianCopula_HYBRID,0.6181,0.5779,0.6181,0.5921,0.5073,1.1534,0.005,0.0052,0,0.0,0.3,15.0,10.0,0.01,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,15.0,10.0,0.05,,,
KNN,CTGAN_HYBRID,0.6389,0.6156,0.6389,0.6243,0.5057,3.0582,0.0913,0.0927,14,4.17,0.3,15.0,10.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,15.0,10.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,32,9.52,0.3,15.0,10.0,0.1,,,
KNN,CTGAN_HYBRID,0.6875,0.6068,0.6875,0.5886,0.5885,2.2482,0.0206,0.0389,32,9.52,0.3,15.0,10.0,0.1,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5798,0.6458,0.5952,0.4443,4.474,0.0076,0.0087,32,9.52,0.3,15.0,10.0,0.1,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5291,10.2975,0.0,0.0,32,9.52,0.3,15.0,10.0,0.1,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,15.0,10.0,0.2,,,
KNN,CTGAN_HYBRID,0.5278,0.6034,0.5278,0.5463,0.5256,1.7483,0.0556,0.0603,46,13.69,0.3,15.0,10.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,15.0,10.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,70,20.83,0.3,15.0,10.0,0.5,,,
KNN,CTGAN_HYBRID,0.6597,0.4746,0.6597,0.5521,0.5003,6.0749,-0.0665,-0.1258,70,20.83,0.3,15.0,10.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.6042,0.5541,0.6042,0.5723,0.462,2.6082,-0.0459,-0.0483,70,20.83,0.3,15.0,10.0,0.5,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,70,20.83,0.3,15.0,10.0,0.5,300,1,336
