Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8403,0.853,0.8403,0.8252,0.798,0.4398,0.5719,0.6114,0,0.0,0.3,9.0,5.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.6663,0.7014,0.6164,0.5332,0.6466,0.0797,0.1305,0,0.0,0.3,9.0,5.0,0.01,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.7912,0.7014,0.5851,0.7441,0.5608,0.0313,0.1261,0,0.0,0.3,9.0,5.0,0.01,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5357,1.1528,0.0,0.0,0,0.0,0.3,9.0,5.0,0.01,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7959,0.7074,0.1633,0.2266,8,2.38,0.3,9.0,5.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6369,0.6944,0.5815,0.65,0.6048,0.0174,0.0501,8,2.38,0.3,9.0,5.0,0.05,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7204,0.7083,0.7131,0.722,0.6299,0.338,0.3395,8,2.38,0.3,9.0,5.0,0.05,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.6519,0.6944,0.6419,0.5741,1.3008,0.1239,0.1492,8,2.38,0.3,9.0,5.0,0.05,300,1,336
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473,29,8.63,0.3,9.0,5.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6496,0.6944,0.6353,0.452,0.661,0.1101,0.1385,29,8.63,0.3,9.0,5.0,0.1,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143,29,8.63,0.3,9.0,5.0,0.1,300,1,336
LogisticRegression,TVAE_HYBRID,0.7014,0.7912,0.7014,0.5851,0.503,2.2512,0.0313,0.1261,29,8.63,0.3,9.0,5.0,0.1,300,1,336
LogisticRegression,Anonymous,0.5069,0.6933,0.5069,0.5056,0.7089,0.9657,0.1474,0.2022,61,18.15,0.3,9.0,5.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6736,0.5967,0.6736,0.5988,0.3977,0.7099,0.0265,0.0363,61,18.15,0.3,9.0,5.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.8264,0.8241,0.8264,0.8166,0.728,0.5565,0.554,0.5695,61,18.15,0.3,9.0,5.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.5208,0.5671,0.5208,0.5374,0.4739,1.2931,-0.0189,-0.0195,61,18.15,0.3,9.0,5.0,0.2,300,1,336
LogisticRegression,Anonymous,0.5069,0.6933,0.5069,0.5056,0.7089,0.9657,0.1474,0.2022,61,18.15,0.3,9.0,5.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.3911,0.7012,0.0,0.0,61,18.15,0.3,9.0,5.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.8264,0.8241,0.8264,0.8166,0.728,0.5565,0.554,0.5695,61,18.15,0.3,9.0,5.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.5208,0.5567,0.5208,0.535,0.4589,1.3913,-0.0428,-0.0437,61,18.15,0.3,9.0,5.0,0.5,300,1,336
