Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7847,0.7776,0.7847,0.7791,0.8026,0.4992,0.4691,0.4725,0,0.0,0.3,9.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6806,0.5849,0.6806,0.5847,0.475,0.6614,0.0072,0.0126,0,0.0,0.3,9.0,2.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6806,0.6166,0.6806,0.6113,0.6275,0.6085,0.0548,0.0727,0,0.0,0.3,9.0,2.0,0.01,300,1,336
RandomForest,TVAE_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5749,8.007,-0.0138,-0.0555,0,0.0,0.3,9.0,2.0,0.01,300,1,336
RandomForest,Anonymous,0.6181,0.7273,0.6181,0.6312,0.7645,0.6257,0.2715,0.3115,8,2.38,0.3,9.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6944,0.643,0.6944,0.612,0.5343,0.6332,0.066,0.1024,8,2.38,0.3,9.0,2.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6458,0.6481,0.6458,0.6469,0.6135,0.6431,0.1707,0.1708,8,2.38,0.3,9.0,2.0,0.05,300,1,336
RandomForest,TVAE_HYBRID,0.7083,0.7946,0.7083,0.6005,0.5392,3.9066,0.062,0.1789,8,2.38,0.3,9.0,2.0,0.05,300,1,336
RandomForest,Anonymous,0.625,0.6298,0.625,0.6273,0.5851,0.6978,0.1275,0.1275,29,8.63,0.3,9.0,2.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6736,0.5967,0.6736,0.5988,0.5402,0.6949,0.0265,0.0363,29,8.63,0.3,9.0,2.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6111,0.5509,0.6111,0.5716,0.4598,0.6891,-0.05,-0.0539,29,8.63,0.3,9.0,2.0,0.1,300,1,336
RandomForest,Anonymous,0.5833,0.6721,0.5833,0.5992,0.5634,1.0948,0.1843,0.2047,61,18.15,0.3,9.0,2.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.5139,0.5009,0.5139,0.5071,0.464,0.6997,-0.1754,-0.1758,61,18.15,0.3,9.0,2.0,0.2,300,1,336
RandomForest,GaussianCopula_HYBRID,0.7153,0.7038,0.7153,0.7078,0.6707,0.5897,0.2978,0.3,61,18.15,0.3,9.0,2.0,0.2,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4912,10.7954,0.0,0.0,61,18.15,0.3,9.0,2.0,0.2,300,1,336
RandomForest,Anonymous,0.5833,0.6528,0.5833,0.5997,0.5817,0.8353,0.1576,0.1692,61,18.15,0.3,9.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6736,0.6052,0.6736,0.6068,0.4348,0.6953,0.0419,0.0541,61,18.15,0.3,9.0,2.0,0.5,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6875,0.678,0.6875,0.6819,0.6497,0.608,0.2394,0.2403,61,18.15,0.3,9.0,2.0,0.5,300,1,336
RandomForest,TVAE_HYBRID,0.5347,0.5255,0.5347,0.5299,0.5152,1.9979,-0.1177,-0.1178,61,18.15,0.3,9.0,2.0,0.5,300,1,336
