Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.7292,0.7519,0.7292,0.7363,0.7159,9.7618,0.4036,0.4094,0,0.0,0.3,6.0,5.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.5069,0.5588,0.5069,0.5248,0.4795,17.7715,-0.0365,-0.038,0,0.0,0.3,6.0,5.0,0.01,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6181,0.5898,0.6181,0.6007,0.515,13.7667,0.0323,0.0329,0,0.0,0.3,6.0,5.0,0.01,300,1,336
DecisionTree,TVAE_HYBRID,0.6111,0.5662,0.6111,0.5823,0.4909,14.017,-0.0202,-0.0212,0,0.0,0.3,6.0,5.0,0.01,300,1,336
DecisionTree,Anonymous,0.5625,0.7105,0.5625,0.5715,0.6341,15.7691,0.2064,0.2562,9,2.68,0.3,6.0,5.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.6389,0.6204,0.6389,0.6278,0.5491,13.0158,0.1034,0.1044,9,2.68,0.3,6.0,5.0,0.05,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5972,0.5972,0.5972,0.5972,0.5255,14.5176,0.0509,0.0509,9,2.68,0.3,6.0,5.0,0.05,300,1,336
DecisionTree,TVAE_HYBRID,0.6875,0.6379,0.6875,0.6305,0.5395,11.2636,0.097,0.1193,9,2.68,0.3,6.0,5.0,0.05,300,1,336
DecisionTree,Anonymous,0.6042,0.7125,0.6042,0.6178,0.6514,14.2673,0.245,0.2811,31,9.23,0.3,6.0,5.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.6667,0.6543,0.6667,0.6593,0.5882,12.0146,0.1834,0.1843,31,9.23,0.3,6.0,5.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.4653,0.5235,0.4653,0.4854,0.4368,19.2733,-0.1115,-0.117,31,9.23,0.3,6.0,5.0,0.1,300,1,336
DecisionTree,TVAE_HYBRID,0.6806,0.6359,0.6806,0.6378,0.5473,11.5139,0.1116,0.1259,31,9.23,0.3,6.0,5.0,0.1,300,1,336
DecisionTree,Anonymous,0.5417,0.6905,0.5417,0.5502,0.6127,16.52,0.1727,0.2162,43,12.8,0.3,6.0,5.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.6319,0.6249,0.6319,0.6282,0.5568,13.2661,0.1158,0.116,43,12.8,0.3,6.0,5.0,0.2,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5,0.5496,0.5,0.5177,0.4682,18.0218,-0.0571,-0.0592,43,12.8,0.3,6.0,5.0,0.2,300,1,336
DecisionTree,TVAE_HYBRID,0.5764,0.5843,0.5764,0.5801,0.5105,15.2685,0.0205,0.0205,43,12.8,0.3,6.0,5.0,0.2,300,1,336
DecisionTree,Anonymous,0.5903,0.7234,0.5903,0.6014,0.6541,14.7679,0.242,0.2903,43,12.8,0.3,6.0,5.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5972,0.6124,0.5972,0.6038,0.5445,14.5176,0.0858,0.0862,43,12.8,0.3,6.0,5.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5139,0.563,0.5139,0.5311,0.4845,17.5212,-0.0277,-0.0288,43,12.8,0.3,6.0,5.0,0.5,300,1,336
DecisionTree,TVAE_HYBRID,0.5764,0.5624,0.5764,0.5688,0.485,15.2685,-0.031,-0.0311,43,12.8,0.3,6.0,5.0,0.5,300,1,336
