Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,0,0.0,0.3,18.0,5.0,0.01,,,
KNN,CTGAN_HYBRID,0.5764,0.55,0.5764,0.5614,0.4965,1.6308,-0.0588,-0.0596,0,0.0,0.3,18.0,5.0,0.01,300,1,336
KNN,GaussianCopula_HYBRID,0.5069,0.5485,0.5069,0.5229,0.4401,2.4166,-0.0606,-0.0622,0,0.0,0.3,18.0,5.0,0.01,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,18.0,5.0,0.05,,,
KNN,CTGAN_HYBRID,0.625,0.5524,0.625,0.5748,0.522,3.9764,-0.0429,-0.0484,14,4.17,0.3,18.0,5.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,18.0,5.0,0.05,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.495,11.0149,0.0,0.0,14,4.17,0.3,18.0,5.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,23,6.85,0.3,18.0,5.0,0.1,,,
KNN,CTGAN_HYBRID,0.625,0.5419,0.625,0.5679,0.401,4.0336,-0.0588,-0.0684,23,6.85,0.3,18.0,5.0,0.1,300,1,336
KNN,GaussianCopula_HYBRID,0.5903,0.634,0.5903,0.6044,0.6067,2.607,0.1288,0.1331,23,6.85,0.3,18.0,5.0,0.1,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,18.0,5.0,0.2,,,
KNN,CTGAN_HYBRID,0.6111,0.5959,0.6111,0.6025,0.4616,3.332,0.0473,0.0475,46,13.69,0.3,18.0,5.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,18.0,5.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,18.0,5.0,0.5,,,
KNN,CTGAN_HYBRID,0.6389,0.6055,0.6389,0.6165,0.5241,2.316,0.0659,0.0681,46,13.69,0.3,18.0,5.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,18.0,5.0,0.5,300,1,336
