Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8403,0.853,0.8403,0.8252,0.798,0.4398,0.5719,0.6114,0,0.0,0.3,8.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.2716,0.6698,0.0,0.0,0,0.0,0.3,8.0,2.0,0.01,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.7912,0.7014,0.5851,0.7441,0.5608,0.0313,0.1261,0,0.0,0.3,8.0,2.0,0.01,300,1,336
LogisticRegression,TVAE_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5423,1.533,0.0369,0.0604,0,0.0,0.3,8.0,2.0,0.01,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7959,0.7074,0.1633,0.2266,8,2.38,0.3,8.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6568,0.6944,0.6535,0.6164,0.6272,0.1502,0.1695,8,2.38,0.3,8.0,2.0,0.05,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7204,0.7083,0.7131,0.722,0.6299,0.338,0.3395,8,2.38,0.3,8.0,2.0,0.05,300,1,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5205,1.589,0.0,0.0,8,2.38,0.3,8.0,2.0,0.05,300,1,336
LogisticRegression,Anonymous,0.5139,0.7091,0.5139,0.5112,0.7214,1.1265,0.1633,0.2266,23,6.85,0.3,8.0,2.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.6369,0.6944,0.5815,0.5316,0.621,0.0174,0.0501,23,6.85,0.3,8.0,2.0,0.1,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.4722,0.5933,0.4722,0.4858,0.6302,0.7342,0.0284,0.0344,23,6.85,0.3,8.0,2.0,0.1,300,1,336
LogisticRegression,Anonymous,0.6667,0.7103,0.6667,0.6785,0.7541,0.6076,0.2953,0.3062,36,10.71,0.3,8.0,2.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.7083,0.7202,0.7083,0.6111,0.5239,0.6614,0.078,0.1631,36,10.71,0.3,8.0,2.0,0.2,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7161,0.7083,0.7117,0.705,0.6155,0.3298,0.3305,36,10.71,0.3,8.0,2.0,0.2,300,1,336
LogisticRegression,TVAE_HYBRID,0.5694,0.5694,0.5694,0.5694,0.4777,2.1587,-0.0145,-0.0145,36,10.71,0.3,8.0,2.0,0.2,300,1,336
LogisticRegression,Anonymous,0.6667,0.7103,0.6667,0.6785,0.7541,0.6076,0.2953,0.3062,36,10.71,0.3,8.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.4653,0.5033,0.4653,0.4811,0.385,0.844,-0.1637,-0.167,36,10.71,0.3,8.0,2.0,0.5,300,1,336
LogisticRegression,GaussianCopula_HYBRID,0.7083,0.7161,0.7083,0.7117,0.705,0.6155,0.3298,0.3305,36,10.71,0.3,8.0,2.0,0.5,300,1,336
LogisticRegression,TVAE_HYBRID,0.6458,0.5711,0.6458,0.5885,0.4523,1.58,-0.0077,-0.0091,36,10.71,0.3,8.0,2.0,0.5,300,1,336
