Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6875,0.6641,0.6875,0.67,0.6806,0.6002,0.1972,0.2028,0,0.0,0.3,13.0,15.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5,0.5756,0.5,0.5196,0.5086,0.7305,0.0,0.0,0,0.0,0.3,13.0,15.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5417,0.5793,0.5417,0.5559,0.5069,0.735,0.0083,0.0085,0,0.0,0.3,13.0,15.0,0.01,300,1,336
RandomForest,Anonymous,0.5486,0.573,0.5486,0.5589,0.5426,0.7077,-0.006,-0.0061,16,4.76,0.3,13.0,15.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6806,0.4793,0.6806,0.5624,0.4224,0.7313,-0.0273,-0.0787,16,4.76,0.3,13.0,15.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6458,0.5941,0.6458,0.6072,0.5032,0.6633,0.0367,0.04,16,4.76,0.3,13.0,15.0,0.05,300,1,336
RandomForest,Anonymous,0.5208,0.7006,0.5208,0.5221,0.5866,1.3204,0.1636,0.2195,23,6.85,0.3,13.0,15.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5625,0.5416,0.5625,0.551,0.4734,0.6853,-0.079,-0.0795,23,6.85,0.3,13.0,15.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5347,0.5377,0.5347,0.5362,0.5665,0.6396,-0.0894,-0.0894,23,6.85,0.3,13.0,15.0,0.1,300,1,336
RandomForest,Anonymous,0.5486,0.6606,0.5486,0.5632,0.5755,0.9006,0.1479,0.172,46,13.69,0.3,13.0,15.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.7153,0.715,0.7153,0.6342,0.674,0.5806,0.1225,0.2006,46,13.69,0.3,13.0,15.0,0.2,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6458,0.6573,0.6458,0.6508,0.6769,0.606,0.1912,0.1918,46,13.69,0.3,13.0,15.0,0.2,300,1,336
RandomForest,Anonymous,0.6181,0.6904,0.6181,0.6331,0.618,0.7872,0.232,0.2504,70,20.83,0.3,13.0,15.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6875,0.634,0.6875,0.6235,0.4549,0.6838,0.0827,0.1067,70,20.83,0.3,13.0,15.0,0.5,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5903,0.5448,0.5903,0.5625,0.4318,0.7041,-0.0673,-0.07,70,20.83,0.3,13.0,15.0,0.5,300,1,336
