Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6181,0.6351,0.6181,0.6252,0.5723,13.7667,0.1384,0.1392,0,0.0,0.3,11.0,5.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.6011,0.6111,0.6057,0.5291,14.017,0.0597,0.0598,0,0.0,0.3,11.0,5.0,0.01,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.5689,0.5417,0.553,0.4918,16.52,-0.0154,-0.0156,0,0.0,0.3,11.0,5.0,0.01,300,1,336
DecisionTree,Anonymous,0.4375,0.6366,0.4375,0.4216,0.5441,20.2746,0.0624,0.0947,8,2.38,0.3,11.0,5.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.5729,0.6111,0.587,0.4973,14.017,-0.006,-0.0062,8,2.38,0.3,11.0,5.0,0.05,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5764,0.5998,0.5764,0.5861,0.5295,15.2685,0.0559,0.0564,8,2.38,0.3,11.0,5.0,0.05,300,1,336
DecisionTree,Anonymous,0.5764,0.6206,0.5764,0.591,0.555,15.2685,0.0993,0.1025,29,8.63,0.3,11.0,5.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5417,0.6004,0.5417,0.5592,0.53,16.52,0.0526,0.0555,29,8.63,0.3,11.0,5.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6042,0.5913,0.6042,0.5971,0.5177,14.2673,0.0366,0.0368,29,8.63,0.3,11.0,5.0,0.1,300,1,336
DecisionTree,Anonymous,0.5903,0.634,0.5903,0.6044,0.5714,14.7679,0.1288,0.1331,29,8.63,0.3,11.0,5.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.5694,0.5694,0.5694,0.5694,0.4927,15.5188,-0.0145,-0.0145,29,8.63,0.3,11.0,5.0,0.2,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.6319,0.6202,0.6319,0.6253,0.5505,13.2661,0.1042,0.1046,29,8.63,0.3,11.0,5.0,0.2,300,1,336
DecisionTree,Anonymous,0.5694,0.6112,0.5694,0.5838,0.5436,15.5188,0.0792,0.0815,29,8.63,0.3,11.0,5.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.6111,0.6111,0.6111,0.5418,14.017,0.0836,0.0836,29,8.63,0.3,11.0,5.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5833,0.5724,0.5833,0.5775,0.4964,15.0182,-0.0075,-0.0075,29,8.63,0.3,11.0,5.0,0.5,300,1,336
