Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,0,0.0,0.3,20.0,15.0,0.01,,,
KNN,CTGAN_HYBRID,0.6528,0.5551,0.6528,0.5775,0.4205,3.5276,-0.0274,-0.0364,0,0.0,0.3,20.0,15.0,0.01,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.588,0.6389,0.6022,0.5552,1.8486,0.025,0.027,0,0.0,0.3,20.0,15.0,0.01,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,8,2.38,0.3,20.0,15.0,0.05,,,
KNN,CTGAN_HYBRID,0.5903,0.5877,0.5903,0.5889,0.5305,1.1706,0.0284,0.0284,8,2.38,0.3,20.0,15.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4576,2.1422,-0.0548,-0.0551,8,2.38,0.3,20.0,15.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,23,6.85,0.3,20.0,15.0,0.1,,,
KNN,CTGAN_HYBRID,0.5278,0.566,0.5278,0.5424,0.5051,0.9783,-0.0217,-0.0222,23,6.85,0.3,20.0,15.0,0.1,300,1,336
KNN,GaussianCopula_HYBRID,0.5903,0.634,0.5903,0.6044,0.6067,2.607,0.1288,0.1331,23,6.85,0.3,20.0,15.0,0.1,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,64,19.05,0.3,20.0,15.0,0.2,,,
KNN,CTGAN_HYBRID,0.5556,0.5375,0.5556,0.5458,0.5015,1.6499,-0.0888,-0.0893,64,19.05,0.3,20.0,15.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.5972,0.5868,0.5972,0.5916,0.5539,1.3669,0.0261,0.0262,64,19.05,0.3,20.0,15.0,0.2,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4613,10.7917,0.0,0.0,64,19.05,0.3,20.0,15.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,98,29.17,0.3,20.0,15.0,0.5,,,
KNN,CTGAN_HYBRID,0.5208,0.5882,0.5208,0.5396,0.5264,1.0066,0.0259,0.0277,98,29.17,0.3,20.0,15.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.6528,0.6065,0.6528,0.6175,0.518,1.837,0.0625,0.0674,98,29.17,0.3,20.0,15.0,0.5,300,1,336
KNN,TVAE_HYBRID,0.6875,0.4808,0.6875,0.5658,0.48,11.0244,-0.0138,-0.0555,98,29.17,0.3,20.0,15.0,0.5,300,1,336
