Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8056,0.8033,0.8056,0.8043,0.8047,0.4982,0.5359,0.5362,0,0.0,0.3,7.0,5.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5347,0.5047,0.5347,0.5182,0.4256,0.7246,-0.163,-0.165,0,0.0,0.3,7.0,5.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.6089,0.6165,0.0369,0.0604,0,0.0,0.3,7.0,5.0,0.01,300,1,336
RandomForest,TVAE_HYBRID,0.6667,0.529,0.6667,0.5666,0.5699,2.9529,-0.036,-0.0629,0,0.0,0.3,7.0,5.0,0.01,300,1,336
RandomForest,Anonymous,0.5972,0.7361,0.5972,0.6075,0.7439,0.685,0.2585,0.3127,9,2.68,0.3,7.0,5.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6042,0.537,0.6042,0.5609,0.4694,0.675,-0.0766,-0.0834,9,2.68,0.3,7.0,5.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.5972,0.6073,0.5972,0.6019,0.5964,0.6498,0.0745,0.0746,9,2.68,0.3,7.0,5.0,0.05,300,1,336
RandomForest,TVAE_HYBRID,0.6806,0.4793,0.6806,0.5624,0.5764,3.6163,-0.0273,-0.0787,9,2.68,0.3,7.0,5.0,0.05,300,1,336
RandomForest,Anonymous,0.6389,0.6835,0.6389,0.6517,0.6917,0.6482,0.2365,0.2453,30,8.93,0.3,7.0,5.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.6736,0.5689,0.6736,0.5807,0.4539,0.6779,-0.0059,-0.0097,30,8.93,0.3,7.0,5.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6667,0.6295,0.6667,0.6376,0.5923,0.6231,0.1129,0.1198,30,8.93,0.3,7.0,5.0,0.1,300,1,336
RandomForest,TVAE_HYBRID,0.6736,0.5967,0.6736,0.5988,0.5423,3.6771,0.0265,0.0363,30,8.93,0.3,7.0,5.0,0.1,300,1,336
RandomForest,Anonymous,0.6528,0.7087,0.6528,0.666,0.6912,0.6719,0.2823,0.2975,36,10.71,0.3,7.0,5.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.6389,0.5811,0.6389,0.5966,0.4795,0.6778,0.0106,0.0116,36,10.71,0.3,7.0,5.0,0.2,300,1,336
RandomForest,GaussianCopula_HYBRID,0.7083,0.6777,0.7083,0.6693,0.6511,0.6102,0.1888,0.2131,36,10.71,0.3,7.0,5.0,0.2,300,1,336
RandomForest,Anonymous,0.6458,0.6931,0.6458,0.6587,0.6874,0.674,0.2555,0.2659,36,10.71,0.3,7.0,5.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6667,0.6093,0.6667,0.6159,0.474,0.663,0.0588,0.0684,36,10.71,0.3,7.0,5.0,0.5,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6875,0.6641,0.6875,0.67,0.6382,0.609,0.1972,0.2028,36,10.71,0.3,7.0,5.0,0.5,300,1,336
RandomForest,TVAE_HYBRID,0.625,0.5419,0.625,0.5679,0.4851,2.3643,-0.0588,-0.0684,36,10.71,0.3,7.0,5.0,0.5,300,1,336
