Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,2.0,0.01,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,2.0,0.01,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0,0.0,0.3,13.0,2.0,0.01,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,2.0,0.05,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,2.0,0.05,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,2.0,0.05,300,1,336
SVM,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,13,3.87,0.3,13.0,2.0,0.05,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,28,8.33,0.3,13.0,2.0,0.1,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,28,8.33,0.3,13.0,2.0,0.1,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,28,8.33,0.3,13.0,2.0,0.1,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,46,13.69,0.3,13.0,2.0,0.2,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,46,13.69,0.3,13.0,2.0,0.2,300,1,336
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,46,13.69,0.3,13.0,2.0,0.2,300,1,336
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,84,25.0,0.3,13.0,2.0,0.5,,,
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,84,25.0,0.3,13.0,2.0,0.5,300,1,336
SVM,GaussianCopula_HYBRID,0.6806,0.4793,0.6806,0.5624,,,-0.0273,-0.0787,84,25.0,0.3,13.0,2.0,0.5,300,1,336
