Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6458,0.6526,0.6458,0.649,0.5923,12.7655,0.1811,0.1813,0,0.0,0.3,16.0,15.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.5764,0.5843,0.5764,0.5801,0.5105,15.2685,0.0205,0.0205,0,0.0,0.3,16.0,15.0,0.01,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5139,0.584,0.5139,0.533,0.51,17.5212,0.0172,0.0184,0,0.0,0.3,16.0,15.0,0.01,300,1,336
DecisionTree,Anonymous,0.5833,0.6194,0.5833,0.5962,0.5536,15.0182,0.0985,0.1008,16,4.76,0.3,16.0,15.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.5625,0.576,0.5625,0.5687,0.5005,15.7691,0.0009,0.0009,16,4.76,0.3,16.0,15.0,0.05,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.625,0.6154,0.625,0.6197,0.5455,13.5164,0.0933,0.0935,16,4.76,0.3,16.0,15.0,0.05,300,1,336
DecisionTree,Anonymous,0.4514,0.6728,0.4514,0.4318,0.5668,19.7739,0.0937,0.1465,23,6.85,0.3,16.0,15.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.5139,0.5734,0.5139,0.5325,0.4973,17.5212,-0.0048,-0.005,23,6.85,0.3,16.0,15.0,0.1,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5972,0.6433,0.5972,0.6115,0.5827,14.5176,0.1485,0.1539,23,6.85,0.3,16.0,15.0,0.1,300,1,336
DecisionTree,Anonymous,0.5417,0.6494,0.5417,0.557,0.5809,16.52,0.1303,0.1505,46,13.69,0.3,16.0,15.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.6042,0.5743,0.6042,0.5862,0.4986,14.2673,-0.0029,-0.003,46,13.69,0.3,16.0,15.0,0.2,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5764,0.6153,0.5764,0.5901,0.5486,15.2685,0.0888,0.0911,46,13.69,0.3,16.0,15.0,0.2,300,1,336
DecisionTree,Anonymous,0.5903,0.6566,0.5903,0.6063,0.5968,14.7679,0.1671,0.1785,70,20.83,0.3,16.0,15.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5278,0.5556,0.5278,0.5394,0.4755,17.0206,-0.0462,-0.0467,70,20.83,0.3,16.0,15.0,0.5,300,1,336
DecisionTree,GaussianCopula_HYBRID,0.5208,0.5297,0.5208,0.5251,0.445,17.2709,-0.1079,-0.1081,70,20.83,0.3,16.0,15.0,0.5,300,1,336
