Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,0,0.0,0.3,15.0,5.0,0.01,,,
KNN,CTGAN_HYBRID,0.6389,0.5644,0.6389,0.5839,0.5211,2.3026,-0.0196,-0.0228,0,0.0,0.3,15.0,5.0,0.01,300,1,336
KNN,GaussianCopula_HYBRID,0.6181,0.5779,0.6181,0.5921,0.5073,1.1534,0.005,0.0052,0,0.0,0.3,15.0,5.0,0.01,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,14,4.17,0.3,15.0,5.0,0.05,,,
KNN,CTGAN_HYBRID,0.6806,0.6166,0.6806,0.6113,0.4872,4.6615,0.0548,0.0727,14,4.17,0.3,15.0,5.0,0.05,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5874,0.6458,0.6014,0.507,2.5521,0.0224,0.0249,14,4.17,0.3,15.0,5.0,0.05,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,32,9.52,0.3,15.0,5.0,0.1,,,
KNN,CTGAN_HYBRID,0.5208,0.5515,0.5208,0.5335,0.4695,1.4487,-0.0552,-0.056,32,9.52,0.3,15.0,5.0,0.1,300,1,336
KNN,GaussianCopula_HYBRID,0.6458,0.5798,0.6458,0.5952,0.4443,4.474,0.0076,0.0087,32,9.52,0.3,15.0,5.0,0.1,300,1,336
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,32,9.52,0.3,15.0,5.0,0.1,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,46,13.69,0.3,15.0,5.0,0.2,,,
KNN,CTGAN_HYBRID,0.5417,0.5898,0.5417,0.5579,0.5119,1.23,0.031,0.0321,46,13.69,0.3,15.0,5.0,0.2,300,1,336
KNN,GaussianCopula_HYBRID,0.6389,0.5942,0.6389,0.6074,0.507,1.8526,0.039,0.0414,46,13.69,0.3,15.0,5.0,0.2,300,1,336
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681,70,20.83,0.3,15.0,5.0,0.5,,,
KNN,CTGAN_HYBRID,0.5972,0.592,0.5972,0.5945,0.5766,2.5411,0.0387,0.0387,70,20.83,0.3,15.0,5.0,0.5,300,1,336
KNN,GaussianCopula_HYBRID,0.6042,0.5541,0.6042,0.5723,0.462,2.6082,-0.0459,-0.0483,70,20.83,0.3,15.0,5.0,0.5,300,1,336
