Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6042,0.6117,0.6042,0.6077,0.5435,0.7283,0.0847,0.0848,0,0.0,0.3,19.0,5.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5278,0.5608,0.5278,0.541,0.5073,0.7192,-0.0338,-0.0344,0,0.0,0.3,19.0,5.0,0.01,300,1,336
RandomForest,GaussianCopula_HYBRID,0.625,0.625,0.625,0.625,0.5765,0.6611,0.1164,0.1164,0,0.0,0.3,19.0,5.0,0.01,300,1,336
RandomForest,Anonymous,0.6319,0.5886,0.6319,0.6023,0.5568,0.9237,0.0275,0.029,14,4.17,0.3,19.0,5.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6597,0.5201,0.6597,0.5628,0.4853,0.7224,-0.0488,-0.0798,14,4.17,0.3,19.0,5.0,0.05,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6875,0.6379,0.6875,0.6305,0.5593,0.6567,0.097,0.1193,14,4.17,0.3,19.0,5.0,0.05,300,1,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5134,9.8494,0.0,0.0,14,4.17,0.3,19.0,5.0,0.05,300,1,336
RandomForest,Anonymous,0.5764,0.5895,0.5764,0.5823,0.5435,0.9711,0.0326,0.0327,23,6.85,0.3,19.0,5.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5694,0.5749,0.5694,0.5721,0.4684,0.9722,-0.0018,-0.0018,23,6.85,0.3,19.0,5.0,0.1,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6042,0.6016,0.6042,0.6029,0.5482,0.6583,0.0613,0.0613,23,6.85,0.3,19.0,5.0,0.1,300,1,336
RandomForest,Anonymous,0.5139,0.5895,0.5139,0.533,0.5032,1.7298,0.0278,0.0302,64,19.05,0.3,19.0,5.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.6042,0.5913,0.6042,0.5971,0.5275,0.6875,0.0366,0.0368,64,19.05,0.3,19.0,5.0,0.2,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6042,0.5859,0.6042,0.5938,0.5515,0.668,0.0238,0.024,64,19.05,0.3,19.0,5.0,0.2,300,1,336
RandomForest,Anonymous,0.5208,0.5515,0.5208,0.5335,0.5102,1.5532,-0.0552,-0.056,98,29.17,0.3,19.0,5.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.625,0.5419,0.625,0.5679,0.5097,0.6619,-0.0588,-0.0684,98,29.17,0.3,19.0,5.0,0.5,300,1,336
RandomForest,GaussianCopula_HYBRID,0.6111,0.559,0.6111,0.5772,0.5486,0.6651,-0.0349,-0.037,98,29.17,0.3,19.0,5.0,0.5,300,1,336
RandomForest,TVAE_HYBRID,0.5556,0.5719,0.5556,0.5629,0.5266,2.5028,-0.0088,-0.0088,98,29.17,0.3,19.0,5.0,0.5,300,1,336
