Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6181,0.6302,0.6181,0.6234,0.5659,13.7667,0.1278,0.1282
DecisionTree,CTGAN_HYBRID,0.6042,0.642,0.6042,0.6169,0.5814,14.2673,0.1485,0.1524
DecisionTree,GaussianCopula_HYBRID,0.5208,0.5723,0.5208,0.5382,0.4959,17.2709,-0.0073,-0.0076
DecisionTree,Original,0.75,0.7651,0.75,0.7552,0.7309,9.0109,0.4394,0.4429
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681
KNN,CTGAN_HYBRID,0.5208,0.5354,0.5208,0.5276,0.4199,2.7007,-0.0943,-0.0946
KNN,GaussianCopula_HYBRID,0.5069,0.5485,0.5069,0.5229,0.4401,2.4166,-0.0606,-0.0622
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,Anonymous,0.6944,0.6409,0.6944,0.6027,0.58,0.6131,0.0504,0.088
LogisticRegression,CTGAN_HYBRID,0.7083,0.6808,0.7083,0.6377,0.5205,0.6449,0.123,0.1746
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.4808,0.6875,0.5658,0.5702,0.6596,-0.0138,-0.0555
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
RandomForest,Anonymous,0.6597,0.6321,0.6597,0.6406,0.65,0.6271,0.1259,0.1294
RandomForest,CTGAN_HYBRID,0.6528,0.6169,0.6528,0.6271,0.5913,0.6329,0.0891,0.0931
RandomForest,GaussianCopula_HYBRID,0.5903,0.6183,0.5903,0.6011,0.5227,0.7067,0.0977,0.0991
RandomForest,Original,0.8194,0.8145,0.8194,0.8122,0.8111,0.4613,0.5456,0.5542
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,CTGAN_HYBRID,0.7083,0.7202,0.7083,0.6111,,,0.078,0.1631
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
