Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.625,0.6394,0.625,0.6312,0.5773,13.5164,0.1489,0.1495
DecisionTree,Original,0.7292,0.7472,0.7292,0.7354,0.7095,9.7618,0.3964,0.4003
KNN,CTGAN,0.5208,0.5113,0.5208,0.5159,0.4001,2.6673,-0.1511,-0.1513
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.7014,0.7912,0.7014,0.5851,0.4825,0.6305,0.0313,0.1261
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
RandomForest,CTGAN,0.6667,0.5736,0.6667,0.5859,0.5218,0.6362,-0.0023,-0.0033
RandomForest,Original,0.8264,0.8218,0.8264,0.8218,0.8131,0.4552,0.5718,0.576
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
