Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6011,0.6262,0.6011,0.6109,,,0.3691,0.3712,0.2,10.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,10.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7446,0.7406,0.7446,0.7414,,,0.5796,0.5809,0.2,10.0,2.0,0.05,,
RandomForest,Anonymous,0.748,0.7289,0.748,0.7243,,,0.573,0.5818,0.2,10.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,10.0,2.0,0.05,,
DecisionTree,Anonymous,0.5898,0.6255,0.5898,0.6027,,,0.3581,0.3617,0.2,15.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,15.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,15.0,2.0,0.05,,
RandomForest,Anonymous,0.7537,0.7322,0.7537,0.7341,,,0.5848,0.5911,0.2,15.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,15.0,2.0,0.05,,
DecisionTree,Anonymous,0.5898,0.6272,0.5898,0.6028,,,0.3589,0.363,0.2,20.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,20.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,20.0,2.0,0.05,,
RandomForest,Anonymous,0.7492,0.7241,0.7492,0.7265,,,0.5755,0.583,0.2,20.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,20.0,2.0,0.05,,
DecisionTree,Anonymous,0.6136,0.6452,0.6136,0.6257,,,0.392,0.3949,0.2,2.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,2.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7351,0.7424,0.7379,,,0.5756,0.5765,0.2,2.0,2.0,0.05,,
RandomForest,Anonymous,0.748,0.7255,0.748,0.7276,,,0.5749,0.5815,0.2,2.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,2.0,2.0,0.05,,
DecisionTree,Anonymous,0.6056,0.6444,0.6056,0.6202,,,0.384,0.3879,0.2,3.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,3.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7446,0.742,0.7446,0.7422,,,0.5804,0.5815,0.2,3.0,2.0,0.05,,
RandomForest,Anonymous,0.7638,0.7444,0.7638,0.7471,,,0.6022,0.6078,0.2,3.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,3.0,2.0,0.05,,
DecisionTree,Anonymous,0.5876,0.629,0.5876,0.6018,,,0.358,0.3627,0.2,5.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,5.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.2,5.0,2.0,0.05,,
RandomForest,Anonymous,0.7616,0.7392,0.7616,0.7379,,,0.596,0.6046,0.2,5.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.05,,
