Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6034,0.6481,0.6034,0.6162,,,0.3859,0.3927,0.2,10.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,10.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7446,0.7303,0.7446,0.7357,,,0.5765,0.5781,0.2,10.0,2.0,0.01,,
RandomForest,Anonymous,0.7446,0.7193,0.7446,0.7233,,,0.5698,0.5761,0.2,10.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,10.0,2.0,0.01,,
DecisionTree,Anonymous,0.6136,0.6428,0.6136,0.6247,,,0.391,0.3937,0.2,15.0,2.0,0.01,,
KNN,Anonymous,0.6712,0.6569,0.6712,0.6629,,,0.4552,0.4564,0.2,15.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7412,0.7246,0.7412,0.7301,,,0.5704,0.5726,0.2,15.0,2.0,0.01,,
RandomForest,Anonymous,0.7322,0.7104,0.7322,0.7118,,,0.5526,0.5592,0.2,15.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,15.0,2.0,0.01,,
DecisionTree,Anonymous,0.626,0.6533,0.626,0.6371,,,0.4091,0.4113,0.2,20.0,2.0,0.01,,
KNN,Anonymous,0.6712,0.6569,0.6712,0.6629,,,0.4552,0.4564,0.2,20.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7412,0.7246,0.7412,0.7301,,,0.5704,0.5726,0.2,20.0,2.0,0.01,,
RandomForest,Anonymous,0.7446,0.7231,0.7446,0.7272,,,0.5723,0.5771,0.2,20.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,20.0,2.0,0.01,,
DecisionTree,Anonymous,0.5955,0.637,0.5955,0.6086,,,0.3706,0.376,0.2,2.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,2.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7435,0.7302,0.7435,0.7353,,,0.5754,0.5767,0.2,2.0,2.0,0.01,,
RandomForest,Anonymous,0.7469,0.7246,0.7469,0.7288,,,0.5733,0.5789,0.2,2.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,2.0,2.0,0.01,,
DecisionTree,Anonymous,0.6328,0.6516,0.6328,0.6405,,,0.4162,0.4177,0.2,3.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,3.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7379,0.7253,0.7379,0.7303,,,0.5667,0.5678,0.2,3.0,2.0,0.01,,
RandomForest,Anonymous,0.7379,0.7091,0.7379,0.7146,,,0.5579,0.5646,0.2,3.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,3.0,2.0,0.01,,
DecisionTree,Anonymous,0.6407,0.6607,0.6407,0.6485,,,0.4296,0.4313,0.2,5.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,5.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7446,0.7303,0.7446,0.7357,,,0.5765,0.5781,0.2,5.0,2.0,0.01,,
RandomForest,Anonymous,0.7435,0.7192,0.7435,0.7247,,,0.5687,0.5739,0.2,5.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.01,,
