run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
studentPerformance_anon_k10_l2_sl0.01,74.0,0.0,4.0,,,,,67.0,1.0
studentPerformance_anon_k10_l2_sl0.05,75.0,0.0,4.0,,,,,69.0,1.0
studentPerformance_anon_k10_l2_sl0.1,69.0,1.0,3.0,,,,,61.0,2.0
studentPerformance_anon_k10_l3_sl0.01,4.0,0.0,,,,,,2.0,1.0
studentPerformance_anon_k10_l3_sl0.05,5.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k10_l3_sl0.1,47.0,1.0,,,,,,44.0,0.0
studentPerformance_anon_k10_l4_sl0.01,36.0,0.0,,,,,,31.0,1.0
studentPerformance_anon_k10_l4_sl0.05,30.0,0.0,,,,,,24.0,1.0
studentPerformance_anon_k10_l4_sl0.1,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k10_l5_sl0.01,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k10_l5_sl0.05,54.0,0.0,,,,,,51.0,1.0
studentPerformance_anon_k10_l5_sl0.1,46.0,0.0,,,,,,40.0,1.0
studentPerformance_anon_k15_l2_sl0.01,81.0,0.0,3.0,,,,,75.0,1.0
studentPerformance_anon_k15_l2_sl0.05,89.0,0.0,3.0,,,,,81.0,2.0
studentPerformance_anon_k15_l2_sl0.1,81.0,0.0,4.0,,,,,74.0,1.0
studentPerformance_anon_k15_l3_sl0.01,46.0,0.0,,,,,,43.0,0.0
studentPerformance_anon_k15_l3_sl0.05,45.0,0.0,,,,,,43.0,1.0
studentPerformance_anon_k15_l3_sl0.1,46.0,0.0,,,,,,42.0,0.0
studentPerformance_anon_k15_l4_sl0.01,4.0,0.0,,,,,,2.0,1.0
studentPerformance_anon_k15_l4_sl0.05,4.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k15_l4_sl0.1,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k15_l5_sl0.01,36.0,0.0,,,,,,35.0,0.0
studentPerformance_anon_k15_l5_sl0.05,5.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k15_l5_sl0.1,47.0,0.0,,,,,,41.0,1.0
studentPerformance_anon_k20_l2_sl0.01,75.0,0.0,4.0,,,,,67.0,2.0
studentPerformance_anon_k20_l2_sl0.05,71.0,0.0,4.0,,,,,64.0,2.0
studentPerformance_anon_k20_l2_sl0.1,9.0,0.0,4.0,,,,,4.0,1.0
studentPerformance_anon_k20_l3_sl0.01,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k20_l3_sl0.05,55.0,0.0,,,,,,51.0,0.0
studentPerformance_anon_k20_l3_sl0.1,4.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k20_l4_sl0.01,37.0,0.0,,,,,,31.0,2.0
studentPerformance_anon_k20_l4_sl0.05,42.0,0.0,,,,,,36.0,1.0
studentPerformance_anon_k20_l4_sl0.1,19.0,0.0,,,,,,16.0,1.0
studentPerformance_anon_k20_l5_sl0.01,4.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k20_l5_sl0.05,5.0,1.0,,,,,,3.0,0.0
studentPerformance_anon_k20_l5_sl0.1,36.0,0.0,,,,,,35.0,0.0
studentPerformance_anon_k2_l2_sl0.01,7.0,0.0,1.0,,,,,5.0,0.0
studentPerformance_anon_k2_l2_sl0.05,7.0,0.0,1.0,,,,,5.0,1.0
studentPerformance_anon_k2_l2_sl0.1,7.0,0.0,1.0,,,,,5.0,1.0
