Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6034,0.6481,0.6034,0.6162,,,0.3859,0.3927,0.2,10.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,10.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7446,0.7303,0.7446,0.7357,,,0.5765,0.5781,0.2,10.0,2.0,0.01,,
RandomForest,Anonymous,0.7446,0.7193,0.7446,0.7233,,,0.5698,0.5761,0.2,10.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,10.0,2.0,0.01,,
DecisionTree,Anonymous,0.6011,0.6262,0.6011,0.6109,,,0.3691,0.3712,0.2,10.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,10.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7446,0.7406,0.7446,0.7414,,,0.5796,0.5809,0.2,10.0,2.0,0.05,,
RandomForest,Anonymous,0.748,0.7289,0.748,0.7243,,,0.573,0.5818,0.2,10.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,10.0,2.0,0.05,,
DecisionTree,Anonymous,0.5842,0.6272,0.5842,0.6,,,0.3524,0.3567,0.2,10.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,10.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7446,0.7406,0.7446,0.7414,,,0.5796,0.5809,0.2,10.0,2.0,0.1,,
RandomForest,Anonymous,0.7525,0.731,0.7525,0.7359,,,0.5832,0.5884,0.2,10.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,10.0,2.0,0.1,,
