Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6011,0.6262,0.6011,0.6109,N/A,N/A,0.3691,0.3712
DecisionTree,Original,0.6881,0.6942,0.6881,0.6909,N/A,N/A,0.4956,0.4958
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,N/A,N/A,0.4515,0.4526
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
LogisticRegression,Anonymous,0.7446,0.7406,0.7446,0.7414,N/A,N/A,0.5796,0.5809
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
RandomForest,Anonymous,0.748,0.7289,0.748,0.7243,N/A,N/A,0.573,0.5818
RandomForest,Original,0.774,0.7606,0.774,0.7607,N/A,N/A,0.618,0.6249
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
