Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5876,0.629,0.5876,0.6018,,,0.358,0.3627
DecisionTree,Original,0.6904,0.6955,0.6904,0.6927,,,0.4992,0.4993
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
RandomForest,Anonymous,0.7616,0.7392,0.7616,0.7379,,,0.596,0.6046
RandomForest,Original,0.774,0.7601,0.774,0.7619,,,0.6197,0.6249
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
