Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4825,0.5541,0.4825,0.5065,,,0.2158,0.2231
DecisionTree,GaussianCopula,0.3864,0.3791,0.3864,0.3816,,,-0.001,-0.001
DecisionTree,Original,0.6915,0.6947,0.6915,0.6931,,,0.5002,0.5002
DecisionTree,TVAE,0.5831,0.5851,0.5831,0.5787,,,0.3266,0.3304
KNN,CTGAN,0.4565,0.4672,0.4565,0.4613,,,0.1274,0.1276
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
KNN,TVAE,0.5424,0.5017,0.5424,0.509,,,0.2074,0.2137
LogisticRegression,CTGAN,0.5921,0.6229,0.5921,0.6049,,,0.3532,0.3553
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
LogisticRegression,TVAE,0.6927,0.6569,0.6927,0.6621,,,0.4757,0.4848
RandomForest,CTGAN,0.5503,0.623,0.5503,0.5772,,,0.3122,0.3202
RandomForest,GaussianCopula,0.5412,0.4951,0.5412,0.4712,,,0.172,0.2011
RandomForest,Original,0.7706,0.7574,0.7706,0.7575,,,0.6122,0.619
RandomForest,TVAE,0.696,0.6646,0.696,0.6615,,,0.4883,0.5013
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
