Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5333,0.5193,0.5333,0.5255,N/A,N/A,0.2281,0.2286
DecisionTree,GaussianCopula,0.3831,0.3757,0.3831,0.3789,N/A,N/A,-0.0103,-0.0103
DecisionTree,Original,0.6881,0.6877,0.6881,0.6879,N/A,N/A,0.4929,0.4929
DecisionTree,TVAE,0.5548,0.5691,0.5548,0.5571,N/A,N/A,0.2904,0.2935
KNN,CTGAN,0.513,0.4665,0.513,0.4832,N/A,N/A,0.1632,0.1669
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,N/A,N/A,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
KNN,TVAE,0.5593,0.5236,0.5593,0.522,N/A,N/A,0.2459,0.2542
LogisticRegression,CTGAN,0.6667,0.5484,0.6667,0.5988,N/A,N/A,0.4033,0.4335
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,N/A,N/A,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
LogisticRegression,TVAE,0.7085,0.6822,0.7085,0.684,N/A,N/A,0.5054,0.513
RandomForest,CTGAN,0.6678,0.548,0.6678,0.5999,N/A,N/A,0.4075,0.4357
RandomForest,GaussianCopula,0.5458,0.4968,0.5458,0.4917,N/A,N/A,0.1938,0.2138
RandomForest,Original,0.7718,0.757,0.7718,0.7572,N/A,N/A,0.6134,0.6209
RandomForest,TVAE,0.696,0.6753,0.696,0.6596,N/A,N/A,0.4883,0.5045
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
